t_ns,x,y,yaw,vx,vy,wz
1785939485215793077,8.73543444870954,0.39993537908630056,-0.026015782995534247,0.0,0.0,0.0
1785939485249485236,8.73543444870954,0.39993537908630056,-0.026015782995534247,0.0,0.0,0.0
1785939485300043155,8.73543444870954,0.39993537908630056,-0.026015782995534247,0.0,0.0,0.0
1785939485349869881,8.73543444870954,0.39993537908630056,-0.026015782995534247,0.0,0.0,0.0
1785939485414022505,8.73526149995344,0.39995651329637766,-0.026143056673892544,0.0,0.0,0.0
1785939485464732557,8.735114897889927,0.3999767603301309,-0.026224980229678996,0.0,0.0,0.0
1785939485523429602,8.735114897889927,0.3999767603301309,-0.026224980229678996,0.0,0.0,0.0
1785939485551270937,8.735114897889927,0.3999767603301309,-0.026224980229678996,0.0,0.0,0.0
1785939485601635986,8.735114897889927,0.3999767603301309,-0.026224980229678996,0.0,0.0,0.0
1785939485669426621,8.735303750249786,0.39994603701507003,-0.026009732099034125,0.0,0.0,0.0
1785939485717651085,8.735458166843154,0.3999165129428728,-0.02590115384562043,0.0,0.0,0.0
1785939485749418602,8.735458166843154,0.3999165129428728,-0.025901153845620428,0.0,0.0,0.0
1785939485829017545,8.735458166843154,0.3999165129428728,-0.025901153845620424,0.0,0.0,0.0
1785939485838039389,8.735458166843154,0.3999165129428728,-0.02590115384562042,0.0,0.0,0.0
1785939485940060794,8.735532288084524,0.3999286914582099,-0.026174276209810436,0.0,0.0,0.0
1785939485973144836,8.735592904626484,0.399941059238523,-0.026320198442951952,0.0,0.0,0.0
1785939486002321225,8.735592904626484,0.399941059238523,-0.026320198442951956,0.0,0.0,0.0
1785939486083531615,8.735592904626484,0.399941059238523,-0.02632019844295196,0.0,0.0,0.0
1785939486143829387,8.735428845620932,0.3999543962409813,-0.02693392539838447,0.0,0.0,0.0
1785939486173673830,8.7352918302643,0.3999669273986449,-0.027319760497699134,0.0,0.0,0.0
1785939486206558601,8.7352918302643,0.3999669273986449,-0.027319760497699134,0.0,0.0,0.0
1785939486263032754,8.7352918302643,0.3999669273986449,-0.027319760497699134,0.0,0.0,0.0
1785939486303637342,8.7352918302643,0.3999669273986449,-0.027319760497699134,0.0,0.0,0.0
1785939486368030677,8.735396154256831,0.3999788986599312,-0.0272225628131052,0.0,0.0,0.0
1785939486416135232,8.735482651776596,0.3999911667851928,-0.02716694057246971,0.0,0.0,0.0
1785939486462358699,8.735482651776596,0.3999911667851928,-0.02716694057246971,0.0,0.0,0.0
1785939486503950680,8.735482651776596,0.3999911667851928,-0.02716694057246971,0.0,0.0,0.0
1785939486564281957,8.73564862886217,0.40000983593594286,-0.027187930223460263,0.0,0.0,0.0
1785939486632625252,8.735787060602556,0.4000289625972627,-0.027200427776608468,0.0,0.0,0.0
1785939486649504260,8.735787060602556,0.4000289625972627,-0.027200427776608464,0.0,0.0,0.0
1785939486704016458,8.735787060602556,0.4000289625972627,-0.02720042777660846,0.0,0.0,0.0
1785939486766858445,8.73562608081475,0.40001201022312183,-0.026971013750186686,0.0,0.0,0.0
1785939486815684177,8.735491251401324,0.39999461326057145,-0.026832395309505735,0.0,0.0,0.0
1785939486849750620,8.735491251401324,0.39999461326057145,-0.026832395309505732,0.0,0.0,0.0
1785939486900277946,8.735491251401324,0.39999461326057145,-0.02683239530950573,0.0,0.0,0.0
1785939486964675122,8.735394246225537,0.40001372179439915,-0.02679418547234416,0.0,0.0,0.0
1785939487019995028,8.735312872656452,0.40003224550513883,-0.02677097738337248,0.0,0.0,0.0
1785939487050026038,8.735312872656452,0.40003224550513883,-0.02677097738337248,0.0,0.0,0.0
1785939487101902658,8.735312872656452,0.40003224550513883,-0.02677097738337248,0.0,0.0,0.0
1785939487151244599,8.742759728940372,0.3998328381851062,-0.02708878621345678,0.0,0.0,0.0
1785939487218052385,8.748092281395081,0.3996925066960374,-0.027119204383456868,0.0,0.0,0.0
1785939487264559190,8.761750887620973,0.3993281406144268,-0.0261103999411677,0.21156640782796582,0.0,0.010649903605298293
1785939487300923984,8.772339209366491,0.39905160535133827,-0.02557775035256648,0.21167789283416596,0.0,0.010651273956566317
1785939487348858486,8.795931647011622,0.39846065362296984,-0.02081083900843171,0.38498812529642623,0.0,0.06710127728380955
1785939487416576511,8.81508680932378,0.398051205498428,-0.017313886765289846,0.3851610910152568,0.0,0.06710646619977063
1785939487464290173,8.843811029963025,0.39753922093076666,-0.01266838991938986,0.5124424271754213,0.0,0.08308768674505027
1785939487500894847,8.869452883293734,0.3972143105550102,-0.008512866285678832,0.5125694849541858,0.0,0.0830891560890858
1785939487550808904,8.905475597786742,0.39692456817635363,-0.0006829622352316139,0.650967563103641,0.0,0.1320837836420477
1785939487604568116,8.93804268755244,0.39690224429985754,0.005922083015325171,0.6511056419639509,0.0,0.13208828581502513
1785939487665083432,8.971398003343573,0.3970516313124671,0.009835035800732776,0.657725174834193,0.0,0.09801059107647993
1785939487718795922,9.004545570025073,0.39736754795518275,0.014661496912269081,0.6577317805713491,0.0,0.09800745893831005
1785939487752455120,9.034398197879655,0.3978881411377091,0.026670797867774477,0.6174093605405877,0.0,0.19279543058750243
1785939487799738815,9.065253785899808,0.39871134802630215,0.03631201263179124,0.617369113906408,0.0,0.19280414449863006
1785939487869477710,9.097587396479234,0.39987769167816395,0.04433958939048982,0.6209296849131083,0.0,0.16618614537377963
1785939487917435988,9.12744136195716,0.40120831615651337,0.05236744095825578,0.6209332384312207,0.0,0.1661836986151543
1785939487950030925,9.154995113709099,0.4026295449408901,0.057609227216355884,0.5752065051141978,0.0,0.12570864058475992
1785939488001262531,9.183712837907953,0.40428580013063486,0.0638965660586881,0.5751609000150065,0.0,0.12570492260508895
1785939488064844575,9.212966839629614,0.40637883599370034,0.06819496506787316,0.5830370809364741,0.0,0.09161900210104373
1785939488115096980,9.24202522505516,0.4085221058284586,0.07311988255292282,0.5830449336739976,0.0,0.09161587201354594
1785939488149461386,9.269624364479657,0.4105251868297621,0.0755442581977968,0.5632483591372939,0.0,0.06285589114591345
1785939488211669143,9.298270941752245,0.4126933813892761,0.07796628817104964,0.5862425168048564,0.0,0.03409375080304936
1785939488248854445,9.327501752709388,0.4149770246245578,0.07967110288480984,0.5862712228259257,0.0,0.03409110694018319
1785939488317164202,9.357424022071024,0.4175110584306173,0.08110824032527181,0.6100652550190315,0.0,0.01172202297495948
1785939488363578940,9.38794081587602,0.42008635895061014,0.08188679186203694,0.6100890028910143,0.0,0.011719966184472274
1785939488400749682,9.418611325339418,0.4226034853458179,0.0815129544669213,0.6219953907713534,0.0,-0.026624555891681896
1785939488449925409,9.449646404646582,0.42513886151917757,0.08017984358206084,0.6220072812774807,0.0,-0.02662808285541279
1785939488500663591,9.480284835197752,0.42760071089257273,0.07783616393304164,0.6086961787561426,0.0,-0.06710421645434737
1785939488566209862,9.510487245663843,0.430241869779958,0.07486181209636321,0.6086828981165568,0.0,-0.06710793592022786
1785939488616642368,9.540422272856294,0.43265907373461177,0.07044821250879695,0.5967869193108377,0.0,-0.11823496201871363
1785939488651778769,9.57018077884249,0.43475897751691167,0.06453729146775883,0.5967750623285244,0.0,-0.11823965555669963
1785939488700598292,9.599585420237137,0.43665930430078836,0.05857769391571666,0.5830801847169944,0.0,-0.12037448776656506
1785939488766176212,9.628656834906673,0.43804418504033166,0.05218843707806427,0.5830665011269575,0.0,-0.12037468423075358
1785939488815147357,9.657595378349205,0.4393665889720202,0.0447983410331267,0.5790919448218566,0.0,-0.16723790367393693
1785939488851077416,9.686545664607044,0.440664378192818,0.03642888487971631,0.5790879778600904,0.0,-0.1672422117005335
1785939488899139474,9.715877197540093,0.4417333810282984,0.028229613403625738,0.595287659588382,0.0,-0.1608561091771689
1785939488970931559,9.746525149870141,0.44218705845193695,0.01980006825809598,0.5953038187519706,0.0,-0.16085552246552104
1785939489017176402,9.777406110544677,0.442547154029077,0.011534117419894442,0.6111635019843785,0.0,-0.1608549357539451
1785939489049789516,9.808000020939144,0.44290004673180633,0.0034817428249220715,0.6111793325355395,0.0,-0.16085493570000609
1785939489100757657,9.838500071147898,0.4430062471164855,-0.0038615912927382166,0.6097548442394771,0.0,-0.13316314697139747
1785939489150708772,9.868986647595822,0.4428885215127155,-0.010519376089255208,0.6097534232277998,0.0,-0.13316060268352894
1785939489230095067,9.90236476777266,0.44334166904451733,-0.016467156309535557,0.5924681449479123,0.0,-0.1363532631475101
1785939489266071656,9.934770274930333,0.44330267350599484,-0.022807077121347424,0.5924508875494131,0.0,-0.13635355672909874
1785939489299613154,9.96420047641425,0.44263135370554385,-0.027973392544773223,0.5852320282013066,0.0,-0.07031960499041037
1785939489351216325,9.993482987801816,0.4418120123049439,-0.03149287156866443,0.5852248188578922,0.0,-0.07031353103242144
1785939489416539996,10.029328508844086,0.44243070078482205,-0.03293270229216959,0.5949398114724364,0.0,-0.043680733813165715
1785939489464039475,10.064378213622035,0.4423191170988906,-0.034323751330230974,0.5949495017357143,0.0,-0.04367828708186776
1785939489501074756,10.094264031531585,0.4412929346775664,-0.03530863862871411,0.601080571125787,0.0,0.0042522495258286025
1785939489548966632,10.124302062562306,0.44023189519106326,-0.03509567966369726,0.6010866871553597,0.0,0.004256653270219703
1785939489602407657,10.154536384251113,0.43917037565590533,-0.03395071247459774,0.6108149308201826,0.0,0.04153844846223012
1785939489665038629,10.189770817454624,0.4409480718787324,-0.029623654415053855,0.6108246536257329,0.0,0.041541880341007
1785939489716341469,10.225166306550932,0.4418427196841941,-0.024756239227362344,0.6047125821980459,0.0,0.09266893693796172
1785939489750690419,10.254340003994345,0.441120345105149,-0.020283758985991416,0.6047066986464128,0.0,0.09267346957367438
