t_ns,path_id
1785939499117468590,1
1785939499226348213,1
1785939499322905336,1
1785939499438420865,1
1785939499518097667,1
1785939499618013304,1
1785939499720825040,1
1785939499819054988,1
1785939499922849125,1
1785939500017529287,1
1785939500117976111,1
1785939500221641092,1
1785939500318836636,1
1785939500418899414,1
1785939500520869585,1
1785939500618444022,1
1785939500718395597,1
1785939500819234209,1
1785939500918854316,1
1785939501021219285,1
1785939501119136614,1
1785939501220594383,1
1785939501319692649,1
1785939501419634046,1
1785939501520001155,1
1785939501620447466,1
1785939501717671075,1
1785939501820086446,1
1785939501918837915,1
1785939502018064824,1
1785939502121176283,1
1785939502220292180,1
1785939502319415022,1
1785939502417969973,1
1785939502518227798,1
1785939502618857219,1
1785939502718066752,1
1785939502820594318,1
1785939502918407932,1
1785939503017372784,1
1785939503122073641,1
1785939503217722956,1
1785939503323293826,1
1785939503418972551,1
1785939503519861853,1
1785939503620744243,1
1785939503724925082,1
1785939503822934318,1
1785939503918440204,1
1785939504019879029,1
1785939504119908334,1
1785939504219411605,1
1785939504320562964,1
1785939504419572970,1
1785939504521831536,1
1785939504617327406,1
1785939504720032386,1
1785939504818738222,1
1785939504919951343,1
1785939505017443601,1
1785939505119518160,1
1785939505221442282,1
1785939505320272442,1
1785939505420947465,1
1785939505522090120,1
1785939505617248634,1
1785939505717932586,1
1785939505817003682,1
1785939505917821462,1
1785939506019960215,1
1785939506119020239,1
1785939506217699705,1
1785939506317423624,1
1785939506419335457,1
1785939506521814862,1
1785939506619431604,1
1785939506720885598,1
1785939506819695373,1
1785939506917343477,1
1785939507019251886,1
1785939507121693081,1
1785939507221064316,1
1785939507319326424,1
1785939507419350225,1
1785939507520056609,1
1785939507622482060,1
1785939507717919592,1
1785939507817994242,1
1785939507918938747,1
1785939508021289027,1
1785939508120467679,1
1785939508217593364,1
1785939508319111712,1
1785939508420415141,1
1785939508517844485,1
1785939508621191247,1
1785939508719584912,1
1785939508817958865,1
1785939508917964745,1
1785939509018163367,1
1785939509130247324,1
1785939509217690599,1
1785939509322364255,1
1785939509419166249,1
1785939509518746611,1
1785939509618378590,1
1785939509720051760,1
1785939509817821243,1
1785939509922276427,1
1785939510021236128,1
1785939510119215155,1
1785939510224976591,1
1785939510319024220,1
1785939510418919952,1
1785939510518831141,1
1785939510619942211,1
1785939510719140288,1
1785939510820255710,1
1785939510921249784,1
1785939511020137066,1
1785939511118491625,1
1785939511219189817,1
1785939511317405620,1
1785939511417793529,1
1785939511517809778,1
1785939511617062480,1
1785939511717922726,1
1785939511819000034,1
1785939511921255591,1
1785939512018163062,1
1785939512126062939,1
1785939512217443917,1
1785939512318335811,1
1785939512417873195,1
1785939512517906660,1
1785939512618287977,1
1785939512719503947,1
1785939512818002992,1
1785939512922425759,1
1785939513017167523,1
1785939513117828625,1
1785939513224296614,1
1785939513317661980,1
1785939513419773052,1
1785939513522010176,1
1785939513618702119,1
1785939513717700189,1
1785939513818244839,1
1785939513920425994,1
1785939514017940653,1
1785939514118249935,1
1785939514217648595,1
1785939514318682894,1
1785939514417058670,1
1785939514517592760,1
1785939514620296269,1
1785939514718607307,1
1785939514817765126,1
1785939514920881641,1
1785939515018087649,1
1785939515117719788,1
1785939515217917995,1
1785939515317300622,1
1785939515419700152,1
1785939515519461192,1
1785939515622319681,1
1785939515722540897,1
1785939515819792635,1
1785939515931428736,1
1785939516019581379,1
1785939516119166637,1
1785939516219689783,1
1785939516320375494,1
1785939516417848392,1
1785939516532090886,1
1785939516618318664,1
1785939516729046670,1
1785939516822530632,1
1785939516919307794,1
1785939517018397130,1
1785939517119266656,1
1785939517218390874,1
1785939517318913636,1
1785939517421329198,1
1785939517518170042,1
1785939517622075320,1
1785939517717802718,1
1785939517819844795,1
1785939517919837651,1
1785939518020507106,1
1785939518119880420,1
1785939518217707250,1
1785939518318637002,1
1785939518417423256,1
1785939518519776737,1
1785939518617799477,1
1785939518718294750,1
1785939518817438168,1
1785939518919277647,1
1785939519018774774,1
1785939519118733517,1
1785939519218541214,1
1785939519319935333,1
1785939519417686993,1
1785939519517613702,1
1785939519617180463,1
1785939519719407347,1
1785939519821042723,1
1785939519920064666,1
1785939520017564828,1
1785939520118719451,1
1785939520219791640,1
1785939520322552814,1
1785939520417776099,1
1785939520518675258,1
1785939520617371877,1
1785939520718019411,1
1785939520818790117,1
1785939520918227306,1
1785939521021234505,1
1785939521117341564,1
1785939521217489049,1
1785939521318737051,1
1785939521422276364,1
1785939521517734217,1
1785939521618209681,1
1785939521720255055,1
1785939521817934936,1
1785939521922349318,1
1785939522021765354,1
1785939522123278198,1
1785939522218988251,1
1785939522317688007,1
1785939522420322553,1
1785939522525588293,1
1785939522625976042,1
1785939522723266501,1
1785939522817238063,1
1785939522917347115,1
1785939523019141248,1
1785939523119183001,1
1785939523223797327,1
1785939523318474033,1
1785939523419752885,1
1785939523520795696,1
1785939523617563610,1
1785939523720300559,1
1785939523821804122,1
1785939523921824691,1
1785939524017280208,1
1785939524117597683,1
1785939524230037843,1
1785939524319325053,1
1785939524418157518,1
1785939524520518518,1
1785939524618003512,1
1785939524717850219,1
1785939524821188373,1
1785939524929570955,1
1785939525017585706,1
1785939525119871728,1
1785939525218477656,1
1785939525317298184,1
1785939525417362882,1
1785939525517667428,1
1785939525620208915,1
1785939525720499573,1
1785939525821052928,1
1785939525926563508,1
1785939526023023123,1
1785939526120840544,1
1785939526220627697,1
1785939526320882321,1
1785939526418956520,1
1785939526519041442,1
1785939526619183487,1
1785939526717889259,1
1785939526818126475,1
1785939526918392396,1
1785939527017598281,1
1785939527118362683,1
1785939527218693566,1
1785939527317091167,1
1785939527418636812,1
1785939527518688070,1
1785939527623128245,1
1785939527717551119,1
1785939527817201915,1
1785939527922763409,1
1785939528020835623,1
1785939528121401298,1
1785939528220867000,1
1785939528320221658,1
1785939528421902059,1
1785939528517177249,1
1785939528620505419,1
1785939528718400219,1
1785939528819736225,1
1785939528920403247,1
1785939529018208892,1
1785939529118708421,1
1785939529217730620,1
1785939529317731124,1
1785939529418999959,1
1785939529534556355,1
1785939529621227987,1
1785939529720312140,1
1785939529820222145,1
1785939529919154708,1
1785939530020858694,1
1785939530118268454,1
1785939530220151806,1
1785939530320589541,1
1785939530418521334,1
