t_ns,reverse
1785939502622670309,0
1785939502722155020,0
1785939502825379250,0
1785939502923290306,0
1785939503021592864,0
1785939503133157731,0
1785939503226625308,0
1785939503337848147,0
1785939503423329115,0
1785939503526480319,0
1785939503625304719,0
1785939503736544615,0
1785939503827451144,0
1785939503922773664,0
1785939504031912304,0
1785939504125072031,0
1785939504223479712,0
1785939504327136181,0
1785939504428636320,0
1785939504525711892,0
1785939504621382168,0
1785939504725521853,0
1785939504822823481,0
1785939504924619087,0
1785939505021718595,0
1785939505123717120,0
1785939505227261489,0
1785939505325505197,0
1785939505425639113,0
1785939505530954263,0
1785939505621801430,0
1785939505722005205,0
1785939505822912652,0
1785939505923229678,0
1785939506027466871,0
1785939506123579466,0
1785939506227621964,0
1785939506321676281,0
1785939506425329198,0
1785939506528311468,0
1785939506623952943,0
1785939506725785125,0
1785939506824816124,0
1785939506921086965,0
1785939507023114770,0
1785939507127531777,0
1785939507225852319,0
1785939507323390083,0
1785939507425258523,0
1785939507528472385,0
1785939507622435626,0
1785939507722249788,0
1785939507822078158,0
1785939507924342099,0
1785939508025528500,0
1785939508124303874,0
1785939508223383642,0
1785939508323258894,0
1785939508435279200,0
1785939508526755029,0
1785939508626676714,0
1785939508723917380,0
1785939508829945194,0
1785939508922362399,0
1785939509022392536,0
1785939509139750657,0
1785939509222061500,0
1785939509329886336,0
1785939509423504702,0
1785939509522909441,0
1785939509624436877,0
1785939509724312705,0
1785939509824089617,0
1785939509927439644,0
1785939510026155688,0
1785939510124003542,0
1785939510231579473,0
1785939510323417490,0
1785939510423319879,0
1785939510523465764,0
1785939510624181044,0
1785939510723575607,0
1785939510831288183,0
1785939510925173278,0
1785939511031096800,0
1785939511122511283,0
1785939511224130530,0
1785939511321062449,0
1785939511421735968,0
1785939511521705911,0
1785939511620611849,0
1785939511724159195,0
1785939511824106161,0
1785939511925525625,0
1785939512021747056,0
1785939512130995908,0
1785939512221483959,0
1785939512322083907,0
1785939512421911061,0
1785939512524419491,0
1785939512627733036,0
1785939512722251433,0
1785939512822127708,0
1785939512928069375,0
1785939513034217737,0
1785939513121716150,0
1785939513228958534,0
1785939513321869547,0
1785939513425314105,0
1785939513525985256,0
1785939513622775186,0
1785939513721632931,0
1785939513825763848,0
1785939513925442197,0
1785939514022174141,0
1785939514122136212,0
1785939514222333587,0
1785939514325317296,0
1785939514421776559,0
1785939514522220055,0
1785939514624769158,0
1785939514722730264,0
1785939514821952181,0
1785939514924704971,0
1785939515024455035,0
1785939515121897659,0
1785939515222367043,0
1785939515328433994,0
1785939515423510042,0
1785939515524136903,0
1785939515622987736,0
1785939515723679688,0
1785939515826719527,0
1785939515937346698,0
1785939516023713841,0
1785939516124577094,0
1785939516225558368,0
1785939516326111178,0
1785939516423815028,0
1785939516536303126,0
1785939516623747201,0
1785939516736360808,0
1785939516826398572,0
1785939516925555431,0
1785939517022343025,0
1785939517124060164,0
1785939517222512423,0
1785939517322827498,0
1785939517425205875,0
1785939517522623794,0
1785939517626718550,0
1785939517721540253,0
1785939517823837572,0
1785939517924767099,0
1785939518025165313,0
1785939518123990161,0
1785939518221898945,0
1785939518322949117,0
1785939518420935056,0
1785939518527263872,0
1785939518622085095,0
1785939518730174292,0
1785939518821624712,0
1785939518923451806,0
1785939519024481113,0
1785939519123139299,0
1785939519223178972,0
1785939519324835405,0
1785939519422295470,0
1785939519521105885,0
1785939519621601798,0
1785939519723721639,0
1785939519836622423,0
1785939519929362775,0
1785939520022523013,0
1785939520123097073,0
1785939520224697088,0
1785939520329965995,0
1785939520421434432,0
1785939520522434170,0
1785939520621538643,0
1785939520722496524,0
1785939520822872177,0
1785939520922128815,0
1785939521025822118,0
1785939521121872343,0
1785939521221685000,0
1785939521323255190,0
1785939521426746725,0
1785939521522308197,0
1785939521622371455,0
1785939521724623876,0
1785939521832431143,0
1785939521930233332,0
1785939522027909084,0
1785939522127632651,0
1785939522224895877,0
1785939522326697819,0
1785939522423389250,0
1785939522536913543,0
1785939522635072480,0
1785939522728601947,0
1785939522821962705,0
1785939522921756449,0
1785939523023622009,0
1785939523123315751,0
1785939523227311687,0
1785939523322939914,0
1785939523424137706,0
1785939523526107782,0
1785939523621880269,0
1785939523725308058,0
1785939523825928583,0
1785939523927589016,0
1785939524021400509,0
1785939524121343475,0
1785939524234958684,0
1785939524326465617,0
1785939524422675784,0
1785939524525352251,0
1785939524622261706,0
1785939524721887029,0
1785939524830421936,0
1785939524936568090,0
1785939525021406988,0
1785939525123939643,0
1785939525222674983,0
1785939525321513112,0
1785939525421331113,0
1785939525522849205,0
1785939525625512392,0
1785939525725750344,0
1785939525825681534,0
1785939525926522610,0
1785939526036255095,0
1785939526127493379,0
1785939526228940237,0
1785939526328042470,0
1785939526424018772,0
1785939526524189042,0
1785939526623720602,0
1785939526722313186,0
1785939526823574821,0
1785939526923347989,0
1785939527030306907,0
1785939527120096406,0
1785939527219552699,0
1785939527317687668,0
1785939527419133501,0
1785939527519215864,0
1785939527623770987,0
1785939527718038047,0
1785939527817748525,0
1785939527925068959,0
1785939528020824070,0
1785939528122665597,0
1785939528222369675,0
1785939528320953779,0
1785939528423083667,0
1785939528517562031,0
1785939528621036061,0
1785939528719044017,0
1785939528820362230,0
1785939528920839998,0
1785939529019382084,0
1785939529119351131,0
1785939529218664508,0
1785939529318181283,0
1785939529419734288,0
1785939529547841704,0
1785939529622336985,0
1785939529720368622,0
1785939529821460683,0
1785939529919883309,0
1785939530021241011,0
1785939530121971588,0
1785939530220142046,0
1785939530321294525,0
1785939530419275728,0
