algo,direction,reward,n_seeds,completion_safe_mean,completion_safe_ci95,completion_fair_mean,completion_fair_ci95,completion_delta,trailer_cte_safe_mean,trailer_cte_safe_ci95,trailer_cte_fair_mean,trailer_cte_fair_ci95,trailer_cte_delta,max_hitch_safe_mean,max_hitch_safe_ci95,max_hitch_fair_mean,max_hitch_fair_ci95,max_hitch_delta,jackknife_safe_mean,jackknife_safe_ci95,jackknife_fair_mean,jackknife_fair_ci95,jackknife_delta
ppo_disc,reverse,dense,3,0.4847108706832395,0.014713015281115507,0.47471007849856006,0.011867849262837939,-0.010000792184679419,0.926303792815805,0.43467218194367546,0.9550727326254771,0.43614357221241196,0.0287689398096721,0.43329641126028157,0.12237824396514213,0.43515827486983366,0.14831362267619796,0.0018618636095520946,0.006108096923971164,0.006074017177060335,0.00344221536351166,0.004086556255176901,-0.0026658815604595036
ppo_disc,reverse,guided,3,0.5628324518308537,0.07714791411703893,0.5731750775524052,0.08947706742379236,0.010342625721551424,1.5760433423828974,0.30385544373613527,1.5548755490546327,0.2896499406840599,-0.021167793328264795,0.1172849836517889,0.05006318651719635,0.10938761010662322,0.06603422834313344,-0.007897373545165676,0.012829566854990584,0.025145951035781544,0.006678383128295255,0.0130896309314587,-0.006151183726695329
ppo_disc,reverse,multiplicative,3,0.1709011943539631,0.33496634093376765,0.1583961474036851,0.31045644891122276,-0.012505046950277987,0.8606017966290883,0.09570093676737239,0.9012966735434783,0.09484513520623078,0.04069487691439,0.7105851980812563,0.4097672040925693,0.7108214206502365,0.4065943562532432,0.00023622256898014893,0.0008394636269246913,0.0016453487087723952,0.0,0.0,-0.0008394636269246913
ppo_disc,reverse,no_hitch,3,0.32495562059939376,0.31874039332678755,0.3250221093143202,0.3186692608698371,6.648871492642705e-05,1.113809661318102,0.4562162936687792,1.1334930877937348,0.4293157026743524,0.019683426475632704,0.5870503449618117,0.330833255847676,0.5841640586740543,0.33270730237699925,-0.0028862862877574447,0.009165092901899699,0.010217394724788982,0.012058924359474315,0.013613142807517744,0.0028938314575746166
td3,forward,dense,3,1.0,0.0,1.0,0.0,0.0,0.4867974109717717,0.33530540240590345,0.4941687874316949,0.3306136661631419,0.007371376459923196,0.13715551189812283,0.03502056816048849,0.14153505015120674,0.03315824650475421,0.004379538253083903,0.0,0.0,0.0,0.0,0.0
td3,forward,guided,3,1.0,0.0,1.0,0.0,0.0,0.36166105483175587,0.1560990242019756,0.37103475069341724,0.15792807306972356,0.009373695861661369,0.1297242218844177,0.024388131177767468,0.1353102513482251,0.023342040216581858,0.0055860294638074015,0.0,0.0,0.0,0.0,0.0
td3,forward,multiplicative,3,1.0,0.0,1.0,0.0,0.0,0.45811504348382925,0.19214803289701937,0.4633768509919265,0.19552314819580746,0.005261807508097238,0.14278371687446956,0.02512857630386818,0.14373561825808187,0.03024801978954625,0.0009519013836123136,0.0,0.0,0.0,0.0,0.0
td3,forward,tractor_focus,3,1.0,0.0,0.9995659722222222,0.0008506944444444687,-0.0004340277777777901,0.6085885496259774,0.2618779895903784,0.6152943883192735,0.2620406788249301,0.006705838693296107,0.20372350467086006,0.13256404913037728,0.20752427170939172,0.1313230314305881,0.0038007670385316605,0.0,0.0,0.0,0.0,0.0
td3,reverse,dense,3,0.7946220338521212,0.05593110743945074,0.7918061423438515,0.04304548734825227,-0.0028158915082696634,1.1277026085722603,0.22734251658410154,1.1386111741097038,0.23044466968507984,0.01090856553744346,0.31524663070005404,0.0567271235702612,0.3047262612239229,0.04097939944834184,-0.010520369476131164,0.012965538463097151,0.01662660972513272,0.01153248657339994,0.017501790436305627,-0.0014330518896972112
td3,reverse,guided,3,0.8717924292409539,0.0640811788760493,0.8610720764119857,0.06513837425690239,-0.010720352828968216,1.1870388674969607,0.29878793964531386,1.203698140382815,0.27698770745782264,0.016659272885854337,0.19929770921670462,0.06844277080352026,0.20119683472272767,0.07107886525380169,0.0018991255060230583,0.023338161918557865,0.04574279736037342,0.019928382375836835,0.03905962945664019,-0.0034097795427210295
td3,reverse,multiplicative,3,0.9671065772257306,0.01077434873558634,0.9589155171427186,0.0059363852641863505,-0.008191060083011958,0.9307758622985501,0.23896108286466808,0.9351238243186342,0.22267806124018416,0.0043479620200840285,0.2174424253564979,0.07863933552003119,0.21533892295389023,0.07527402399849001,-0.0021035024026076765,0.0012653651482284888,0.002480115690527838,0.0028459622909996446,0.005578086090359303,0.0015805971427711558
td3,reverse,no_hitch,3,0.8202831390519935,0.1283911308606628,0.8046067765281726,0.1282349946978149,-0.015676362523820875,0.9879899316979571,0.178854415449102,1.0128229944053633,0.16700771665976086,0.02483306270740615,0.25920171513630513,0.06365988154880953,0.2558049090125282,0.0712020107659122,-0.0033968061237769076,0.010674931129476583,0.02092286501377411,0.005285592497868713,0.010359761295822677,-0.00538933863160787
