t_ns,steering_tire_angle
1785938896981359263,0.012482999823987484
1785938897003595415,0.012482999823987484
1785938897021738147,0.012482999823987484
1785938897041515398,0.012482999823987484
1785938897062059876,0.012482999823987484
1785938897081407929,0.01116899959743023
1785938897102664079,0.010511999949812889
1785938897124839525,0.010511999949812889
1785938897141363833,0.010511999949812889
1785938897161708656,0.010511999949812889
1785938897181536405,0.01116899959743023
1785938897201747592,0.01116899959743023
1785938897221321572,0.01116899959743023
1785938897241685436,0.01116899959743023
1785938897264289952,0.011826000176370144
1785938897285671706,0.012482999823987484
1785938897301834915,0.013797000050544739
1785938897321634279,0.014453999698162079
1785938897342073505,0.014453999698162079
1785938897361940488,0.014453999698162079
1785938897385329159,0.01642500050365925
1785938897402051362,0.01773899979889393
1785938897422721348,0.019710000604391098
1785938897441162138,0.019710000604391098
1785938897461627317,0.019710000604391098
1785938897481511420,0.021023999899625778
1785938897503385383,0.024309000000357628
1785938897521706361,0.025622999295592308
1785938897541572064,0.025622999295592308
1785938897561643853,0.026280000805854797
1785938897588040243,0.027594000101089478
1785938897603242426,0.029565000906586647
1785938897622020540,0.030222000554203987
1785938897644884137,0.030222000554203987
1785938897662749579,0.030222000554203987
1785938897681582575,0.030879000201821327
1785938897702331219,0.031536001712083817
1785938897722536421,0.031536001712083817
1785938897741655955,0.030879000201821327
1785938897761977001,0.030879000201821327
1785938897782016053,0.030879000201821327
1785938897806691744,0.030222000554203987
1785938897821593629,0.030222000554203987
1785938897846479951,0.030222000554203987
1785938897862294220,0.030222000554203987
1785938897881175984,0.028907999396324158
1785938897903600943,0.027594000101089478
1785938897921771323,0.026937000453472137
1785938897942016783,0.026937000453472137
1785938897961993465,0.026937000453472137
1785938897982852290,0.024965999647974968
1785938898003291228,0.024309000000357628
1785938898022247427,0.024309000000357628
1785938898041652954,0.024309000000357628
1785938898061802091,0.024309000000357628
1785938898083185061,0.024309000000357628
1785938898102261777,0.024309000000357628
1785938898122111031,0.024309000000357628
1785938898142217766,0.023652000352740288
1785938898164478014,0.024309000000357628
1785938898181552677,0.024965999647974968
1785938898202899262,0.024965999647974968
1785938898221683776,0.024965999647974968
1785938898241812016,0.024965999647974968
1785938898262028098,0.025622999295592308
1785938898282408314,0.026280000805854797
1785938898303441897,0.026280000805854797
1785938898322070981,0.026280000805854797
1785938898341476028,0.026280000805854797
1785938898361818259,0.025622999295592308
1785938898381656313,0.024965999647974968
1785938898402270393,0.024309000000357628
1785938898421782579,0.024309000000357628
1785938898441730973,0.024309000000357628
1785938898461709031,0.024309000000357628
1785938898483039488,0.023652000352740288
1785938898503578493,0.02168099954724312
1785938898521961905,0.02168099954724312
1785938898541581648,0.02168099954724312
1785938898561859076,0.02168099954724312
1785938898582411650,0.019710000604391098
1785938898602368684,0.01839599944651127
1785938898622577246,0.01642500050365925
1785938898641360544,0.01642500050365925
1785938898661562706,0.01642500050365925
1785938898681423128,0.01642500050365925
1785938898703923673,0.014453999698162079
1785938898722615384,0.013140000402927399
1785938898742023919,0.011826000176370144
1785938898761727248,0.011826000176370144
1785938898781607671,0.01116899959743023
1785938898802388061,0.010511999949812889
1785938898826147496,0.010511999949812889
1785938898841707260,0.010511999949812889
1785938898861791626,0.010511999949812889
1785938898881915801,0.010511999949812889
1785938898902583163,0.010511999949812889
1785938898922657033,0.010511999949812889
1785938898941660018,0.010511999949812889
1785938898961797890,0.01116899959743023
1785938898981038579,0.012482999823987484
1785938899004904354,0.012482999823987484
1785938899025747754,0.012482999823987484
1785938899043425638,0.012482999823987484
1785938899062443600,0.012482999823987484
1785938899082059918,0.013140000402927399
1785938899102227775,0.013797000050544739
1785938899121985250,0.013797000050544739
1785938899144018546,0.013797000050544739
1785938899162053594,0.013140000402927399
1785938899181775484,0.011826000176370144
1785938899204284925,0.01116899959743023
1785938899221623341,0.01116899959743023
1785938899241412977,0.01116899959743023
1785938899261795818,0.01116899959743023
1785938899281496939,0.009855000302195549
1785938899314334444,0.007226999849081039
1785938899321806252,0.006570000201463699
1785938899341677074,0.005913000088185072
1785938899362050410,0.005913000088185072
1785938899381742283,0.005913000088185072
1785938899402474351,0.004598999861627817
1785938899422504827,0.0013139999937266111
1785938899442113401,0.0
1785938899462755098,0.0
1785938899481367414,-0.0019710001070052385
1785938899519197634,-0.0026279999874532223
1785938899524325809,-0.0026279999874532223
1785938899541700067,-0.0026279999874532223
1785938899561799314,-0.0026279999874532223
1785938899581779004,-0.0026279999874532223
1785938899603905872,-0.0026279999874532223
1785938899626571894,-0.0026279999874532223
1785938899643957576,-0.0026279999874532223
1785938899662924304,-0.0026279999874532223
1785938899682108415,-0.0019710001070052385
1785938899707861903,-0.0019710001070052385
1785938899721897422,-0.0013139999937266111
1785938899741347591,-0.0013139999937266111
1785938899763559102,-0.0013139999937266111
1785938899781541348,0.0
1785938899804199946,0.0
1785938899822735203,0.0
1785938899841526149,0.0
1785938899861923934,0.0
1785938899881321652,0.0
1785938899901973686,0.0
1785938899928848492,0.0
1785938899941389432,0.0
1785938899961801233,0.0
1785938899981658328,0.0
1785938900002813162,0.0
1785938900022649136,0.0
1785938900050289408,0.0
1785938900061484990,0.0
1785938900081895256,0.0019710001070052385
1785938900101886659,0.0032850001007318497
1785938900122224441,0.005913000088185072
1785938900141645809,0.005913000088185072
1785938900162008936,0.006570000201463699
1785938900181766859,0.007884000428020954
1785938900210680967,0.01116899959743023
1785938900221952008,0.011826000176370144
1785938900242402370,0.011826000176370144
1785938900261997056,0.012482999823987484
1785938900281373846,0.013140000402927399
1785938900303414695,0.01642500050365925
1785938900321513137,0.01773899979889393
1785938900342049806,0.01773899979889393
1785938900361794545,0.01839599944651127
1785938900381047683,0.020367000252008438
1785938900403995730,0.02233799919486046
1785938900423579855,0.025622999295592308
1785938900442354545,0.026937000453472137
1785938900461833226,0.027594000101089478
1785938900481280226,0.029565000906586647
1785938900504113774,0.0328500010073185
