t_ns,steering_tire_angle
1785941205237292365,-0.07292699813842773
1785941205255771226,-0.07292699813842773
1785941205275193388,-0.07292699813842773
1785941205295714729,-0.0722699984908104
1785941205316404844,-0.0722699984908104
1785941205335704346,-0.0722699984908104
1785941205355342516,-0.07161299884319305
1785941205375106100,-0.0722699984908104
1785941205395626160,-0.07358399778604507
1785941205415190184,-0.07424099743366241
1785941205435855531,-0.07424099743366241
1785941205455370688,-0.07424099743366241
1785941205475525743,-0.07489799708127975
1785941205496109070,-0.07621199637651443
1785941205516675405,-0.07686900347471237
1785941205535832629,-0.07686900347471237
1785941205555955362,-0.07686900347471237
1785941205575328562,-0.07621199637651443
1785941205604133745,-0.0755549967288971
1785941205615869944,-0.07489799708127975
1785941205637637510,-0.07489799708127975
1785941205658166083,-0.07489799708127975
1785941205675520677,-0.07489799708127975
1785941205695319461,-0.07424099743366241
1785941205715553335,-0.07424099743366241
1785941205737862137,-0.07424099743366241
1785941205755682541,-0.07424099743366241
1785941205776255852,-0.07424099743366241
1785941205795881062,-0.07424099743366241
1785941205815202644,-0.07358399778604507
1785941205837681533,-0.07358399778604507
1785941205861092266,-0.07358399778604507
1785941205875405174,-0.07358399778604507
1785941205896119930,-0.07358399778604507
1785941205915407815,-0.07358399778604507
1785941205936660064,-0.07358399778604507
1785941205957528747,-0.07358399778604507
1785941205975520197,-0.07424099743366241
1785941205996004929,-0.07621199637651443
1785941206018494346,-0.07686900347471237
1785941206036054900,-0.07686900347471237
1785941206058311732,-0.07686900347471237
1785941206075806907,-0.07686900347471237
1785941206096399451,-0.07884000241756439
1785941206116911895,-0.07949700206518173
1785941206142516634,-0.07949700206518173
1785941206155208934,-0.07949700206518173
1785941206175429528,-0.07949700206518173
1785941206201914940,-0.07818300276994705
1785941206216000575,-0.07686900347471237
1785941206242436481,-0.07686900347471237
1785941206259272175,-0.07686900347471237
1785941206275831314,-0.07686900347471237
1785941206296223722,-0.0755549967288971
1785941206315707070,-0.07489799708127975
1785941206339015015,-0.07489799708127975
1785941206359420480,-0.07489799708127975
1785941206379316932,-0.07489799708127975
