t_s,x,y,yaw,vx,hitch_deg,steer_rad,steer_rate_cmd,vel_cmd,trailer_x,trailer_y,e_y,e_y_t,e_psi_deg,e_psi_t_deg,s_path,enabled,reverse,in_window,reversed_m
33.90847616,16.64379685708474,1.1501230188075373,3.0684771632420587,-0.2482309727396678,1.508822910950669,0.3771179914474487,0.0789305112232697,-0.25,19.42996200373649,0.8721234224354678,0.4589928781469891,0.08954765360868565,-6.065514921579766,-7.682200086451957,34.35386691431886,True,True,True,6.907590949829277
34.00055936,16.66440509235806,1.1485619095354165,3.0565354840419,-0.24992959625218997,0.5132902964360869,0.3771179914474487,0.1732286294341879,-0.25,19.452039652135564,0.8857053685590321,0.4567578538609756,0.1023570543757064,-6.749722740048011,-7.3708752904056585,34.33332084195256,True,True,True,6.928137022195571
34.100317184,16.692283641123346,1.1460141370211114,3.040049960449519,-0.2428313729188506,0.022655452809201743,0.3771179914474487,0.0711991884085847,-0.25,19.47774830625018,0.8610815145823121,0.45329865173238615,0.07685784444218127,-7.694273664954807,-7.824791371685559,34.30554065932759,True,True,True,6.955917204820544
34.202993152,16.71501589970866,1.1433934273070898,3.0259936886324894,-0.24389876879968933,-0.7295197413501291,0.3771179914474487,-0.0032826323450452686,-0.25,19.500214850783514,0.8558750749684441,0.44993505063800115,0.07087665949717092,-8.499638715759277,-7.8779812283307225,34.28290639575502,True,True,True,6.978551468393114
34.301115904,16.740003793768032,1.140397165280234,3.0114672877128097,-0.2460616290477187,-1.6407119092466578,0.3771179914474487,0.1656977285136674,-0.25,19.5255959892901,0.8567140317552568,0.44612224487869323,0.07083633333235435,-9.331940179971882,-7.799090524646757,34.25803000236897,True,True,True,7.003427861779166
34.40020096,16.762078274227438,1.1373111686493607,2.9976853870220648,-0.24952402721630826,-2.3423989296545664,0.3771179914474487,-0.0615842840945416,-0.25,19.54723169083901,0.8493520640235526,0.4423151432162868,0.06272967921884011,-10.12158492322,-7.887048247486974,34.23606839860944,True,True,True,7.025389465538694
34.500387328,16.790789246776665,1.132944312645665,2.980322273140093,-0.2514744907751282,-2.9098747084359315,0.3718657118425317,-0.06238529294810373,-0.25,19.573717382226786,0.8242195275698365,0.43701057780994534,0.03669518816758806,-11.116418067861998,-8.314405613347585,34.20751579869403,True,True,True,7.053942065454102
34.600604672,16.81309544896291,1.1300662363565215,2.967711465861182,-0.24910525942252412,-3.5443368567939957,0.36495266659839426,-0.13578432559775155,-0.25,19.595545676710685,0.8170634726205609,0.43340369800997036,0.028787655166008157,-11.838964101196447,-8.40248949832397,34.185315789747904,True,True,True,7.076142074400231
34.70129536,16.84332940489619,1.1253929669899203,2.949399995671219,-0.24751127974021414,-4.9775751375170465,0.3549253617765808,0.054579068487700395,-0.25,19.627815242237364,0.831048574064875,0.42774301821355276,0.041647091261812014,-12.888134059760956,-8.018421176165454,34.15525105555332,True,True,True,7.106206808594813
34.800270336,16.865763352961082,1.120978699269471,2.935613917411244,-0.2467885546508216,-5.713874873968967,0.3563073867105243,-0.22635662724733363,-0.25,19.64997269481064,0.8240303186413795,0.4225965879863533,0.03386587861144154,-13.678018160094583,-8.072005540047138,34.13297366698996,True,True,True,7.128484197158173
34.901658112,16.888711891898378,1.116407291692259,2.9216255934916466,-0.24894770142504963,-6.57274836673422,0.34658159731376204,-0.2852171866613251,-0.25,19.67321733311048,0.822248409691029,0.4172762534904216,0.03128023088199407,-14.479490083149402,-8.014603970336744,34.11018710850816,True,True,True,7.1512707556399775
35.001790208,16.91497136030443,1.1103571652243782,2.905427356375556,-0.24174891444490262,-7.944215417158731,0.31708995644304094,-0.1402481258569389,-0.25,19.701669720405118,0.8377544326405955,0.41036958693250547,0.04579184007015146,-15.40758070545355,-7.571227542216386,34.08413981175199,True,True,True,7.177318052396146
35.100946176,16.935457632934117,1.1049621816209523,2.891498742018152,-0.2449768323674551,-8.953139787961547,0.2938596247685006,-0.4361628454603347,-0.25,19.723140414414967,0.842617542195663,0.4043067371637785,0.04990864659401988,-16.20563152259812,-7.3603539885581455,34.06384116482613,True,True,True,7.197616699322005
35.199407104,16.961180443516504,1.0981443026551465,2.8749773459223977,-0.2460636726212492,-10.089919684836792,0.2813500800137755,-0.3854991600774158,-0.25,19.74971863052333,0.8450538452991082,0.3966503009219266,0.05142326219645882,-17.152237790548767,-7.170180359633548,34.038355375807065,True,True,True,7.22310248834107
35.31271296,16.98116631343345,1.0917956901411443,2.8622185898650505,-0.2529065979849276,-11.77175445275702,0.22732605507486497,-0.2680774562273507,-0.25,19.773520337493864,0.8850131852873281,0.3896507176559616,0.09053454911610347,-17.883260664471734,-6.219368465636248,34.0185880868859,True,True,True,7.242869777262236
35.401227776,17.009382880028017,1.083533966069648,2.847132322728566,-0.25652303655710956,-12.651115679435419,0.19693527820990073,-0.4363323152065277,-0.25,19.80179087844433,0.8774816174283482,0.380469560220587,0.08202867622188928,-18.74764009999922,-6.204386674485357,33.99065715308185,True,True,True,7.270800711066286
35.49979008,17.02896645805368,1.077100395120722,2.837273153871278,-0.2504773254331035,-13.49179984349501,0.1669697263293379,-0.4363323152065277,-0.25,19.822333943215696,0.8844917430833692,0.3733982358568775,0.08832332919210041,-19.31252886502863,-5.928591275455184,33.97129472205717,True,True,True,7.290163142090961
35.604056576,17.05617617242527,1.0680996926531265,2.826031178172081,-0.2395883157952138,-14.49445112434471,0.12075502293140443,-0.4363323152065277,-0.25,19.850694225395507,0.892974447118825,0.36351146245251725,0.09581875410814485,-19.95664662598125,-5.587076822540268,33.9443942961731,True,True,True,7.317063567975033
35.70386688,17.07419295644883,1.0621650321955585,2.8196704140717106,-0.23754031876611215,-16.207569044820126,0.08106631353760868,-0.4363323152065277,-0.25,19.87205871445161,0.9528617834079898,0.3569907187293756,0.15492351298941803,-20.316703402714708,-4.238403839494418,33.92660882496961,True,True,True,7.334849039178522
35.80173184,17.100532177809388,1.0533363405905876,2.8125959447066524,-0.24857165012329524,-17.12449825976054,0.037937554904991455,-0.4363323152065277,-0.25,19.89926235651611,0.9690191608687814,0.347306359597601,0.17012107936379883,-20.72204063962714,-3.7268118614664494,33.900572051637596,True,True,True,7.3608858125105385
35.900993024,17.12023988341864,1.0467341696448054,2.809429143917243,-0.25405214656423625,-17.96990290729535,-0.004388706188199213,-0.4363323152065277,-0.25,19.91975921589862,0.9948544330334336,0.34006395349205754,0.19522484015633323,-20.903484959418982,-3.062851533723425,33.88109052512193,True,True,True,7.380367339026208
36.001202176,17.149651937969598,1.0367387544815914,2.806935907751132,-0.2568859605068709,-19.3949371970139,-0.045043445439607505,-0.4363323152065277,-0.25,19.949631199790556,1.0475152739830145,0.329113118361011,0.24681042764643332,-21.046336869066522,-1.7806691536524086,33.85202066982256,True,True,True,7.409437194325577
36.09988736,17.171977306437338,1.028927629483285,2.807441102690955,-0.24572480511037853,-20.194431477993227,-0.09038819371173104,-0.4363323152065277,-0.25,19.971508075377706,1.0801865190161641,0.3205768965811564,0.27869780162363317,-21.0173913311833,-0.9522293347898945,33.82996236824051,True,True,True,7.431495495907626
36.199575808,17.191351794949323,1.0217932892796933,2.8092414690456096,-0.24178753034609834,-20.89385514884429,-0.1360974311875564,-0.4363323152065277,-0.25,19.98988992476288,1.1122606092335716,0.31281348985378304,0.31011043201950284,-20.91423793748425,-0.14965227023976108,33.810831264476555,True,True,True,7.45062659967158
36.300213248,17.217790536693208,1.0127102308390425,2.8145511734351985,-0.24605821668151578,-21.7539204815856,-0.1787738774610633,-0.4363323152065277,-0.25,20.013912655776828,1.1600231466724207,0.3028716487653843,0.35700496056659414,-20.61001428549872,1.0146367144870287,33.78470333284374,True,True,True,7.476754531304394
36.400939264,17.23839425026585,1.0051253077839089,2.8188257252525295,-0.24621226280295674,-21.978509080893836,-0.2255994861993347,-0.4363323152065277,-0.25,20.033215371566104,1.1753454591584889,0.2946177466165542,0.3716438732354928,-20.365100507055676,1.4841390922383395,33.76435837843108,True,True,True,7.497099485717051
36.50075264,17.26120475620005,0.9972195807197661,2.8265405143275224,-0.24678932958633323,-22.26107443121434,-0.2703590815628182,-0.4363323152065277,-0.25,20.05364975843404,1.2027698409930225,0.28597112608691816,0.3983379560587453,-19.923075653224945,2.2087292963895826,33.741818288484424,True,True,True,7.51963957566371
36.599555072,17.281622958075445,0.9901299123692492,2.8343050387902906,-0.24477205928634757,-22.579047448560278,-0.3127068604825591,-0.4363323152065277,-0.25,20.07108380195164,1.2328400285191654,0.2782182741463673,0.4277810035115953,-19.478201171582246,2.971576795378246,33.721642569118494,True,True,True,7.539815295029641
36.703559936,17.30823020639655,0.9814501387930576,2.847350924493619,-0.2460631704234498,-22.63890492452139,-0.3589731163328197,-0.4363323152065277,-0.25,20.093994321296822,1.2634400253739497,0.26867399838730244,0.4575622975050825,-18.730726980771465,3.7789084621500924,33.69533304740506,True,True,True,7.566124816743077
36.801756928,17.331451299065016,0.9745693968009457,2.8600885552528474,-0.24714604836780768,-22.524768591033848,-0.3771179914474487,-0.4363323152065277,-0.25,20.11402449761174,1.2864770670007237,0.26103840399701955,0.47988583105877486,-18.00091449727166,4.394584612162316,33.67234910837393,True,True,True,7.589108755774205
36.900586752,17.35251095030796,0.9690781923546862,2.8732339764342765,-0.2492101763861938,-22.31391477496803,-0.3771179914474487,-0.4363323152065277,-0.25,20.13200723676252,1.3073094646896362,0.2548622097879778,0.5000775622046357,-17.2477373436539,4.936907949714348,33.651480067623645,True,True,True,7.60997779652449
37.002836224,17.381536986968175,0.9613145052928755,2.8933179209443907,-0.24895241538326296,-22.047806154646768,-0.3771179914474487,-0.4363323152065277,-0.25,20.155480090460834,1.3424177178029626,0.24615452118450856,0.5343447260566729,-16.097012087249418,5.821524585797477,33.62272312411118,True,True,True,7.638734740036952
37.099161088,17.400201402479933,0.9563628343951491,2.9069562180453055,-0.250261300024255,-21.70267600575743,-0.3771179914474487,-0.4363323152065277,-0.25,20.171162150363656,1.3585773712876765,0.24059581373217803,0.5499469030792197,-15.315595223621493,6.257811300536096,33.604230416831435,True,True,True,7.6572274473167
37.201168128,17.427397803324055,0.9497977343351774,2.9258400169627174,-0.2485942042664773,-21.06689063373102,-0.3771179914474487,-0.4363323152065277,-0.25,20.19514242050114,1.3735780242110478,0.2331458381323055,0.5641010112071195,-14.233633244480073,6.703987907651128,33.5772629805196,True,True,True,7.684194883628535
37.301036288,17.445213960613522,0.9458202406556078,2.938081093996404,-0.24655774066618447,-20.246729422150295,-0.3771179914474487,-0.4363323152065277,-0.25,20.213831309227167,1.3638608809712944,0.22858849664770314,0.5537371745897951,-13.532271193755316,6.585188746795107,33.55958625697912,True,True,True,7.701871607169018
37.399594496,17.474270486143087,0.9398441776953069,2.9576008260422144,-0.24246375507290666,-19.69706818886054,-0.3771179914474487,-0.4363323152065277,-0.25,20.238601894259475,1.385345991497751,0.22166648224473723,0.5743441875155234,-12.41387293030411,7.153925776956621,33.53074044756144,True,True,True,7.7307174165866925
37.499293952,17.497438115493043,0.9358130903493337,2.9739397533634477,-0.24389824541189561,-18.79066307888018,-0.3771179914474487,-0.4363323152065277,-0.25,20.261537858201482,1.3827500124749825,0.21688076816767218,0.5709488632054249,-11.47772135302645,7.183672244253905,33.507716858448084,True,True,True,7.75374100570005
37.598886144,17.517374089478963,0.9335320439491022,2.989137385915665,-0.24677423000459991,-17.64056642920495,-0.3771179914474487,-0.4363323152065277,-0.25,20.283619943517554,1.3669877798833654,0.21394972416432645,0.5544251329932316,-10.60696114919376,6.904335798411379,33.4878660344728,True,True,True,7.773591829675333
37.701972736,17.548003370666855,0.9294253511932445,3.011230466859109,-0.25183084841485637,-17.116256065206812,-0.3771179914474487,-0.4363323152065277,-0.25,20.308407868604615,1.3986449242770846,0.2088431176442392,0.5852442715746912,-9.347377462702859,7.868192684456533,33.45736443971204,True,True,True,7.804093424436097
37.800153856,17.570263550942354,0.928162906555722,3.027818671970646,-0.2551264608300032,-16.403735920074418,-0.3771179914474487,-0.4363323152065277,-0.25,20.328695877490922,1.408840657082892,0.20685178592561798,0.5948053108792767,-8.396943320114442,8.106106681912529,33.435157594138055,True,True,True,7.82630027001008
37.902805248,17.599377425748635,0.9254337492006837,3.0473315342065597,-0.2482429385036454,-15.340235409940783,-0.3771179914474487,-0.4363323152065277,-0.25,20.35735124671344,1.4087353143469217,0.20316990333664525,0.5938104994781561,-7.278938667776391,8.160610824116954,33.40614880673311,True,True,True,7.8553090574150275
38.00230784,17.622206990047122,0.9253306686160732,3.0647695568836895,-0.24030835594084976,-14.010705574955855,-0.3771179914474487,-0.4363323152065277,-0.25,20.38292196969323,1.3927200150474894,0.20231865157786735,0.5770091523452796,-6.279813565323432,7.830206091584934,33.38333488549828,True,True,True,7.878122978649856
38.100666368,17.64971366354827,0.9233587033811755,3.0822057430951286,-0.24245397971316845,-13.24798106433866,-0.3771179914474487,-0.4363323152065277,-0.25,20.408477595466863,1.402129596340482,0.19944622947368637,0.5856209017337312,-5.2807936846037675,8.066501461687423,33.355907619407,True,True,True,7.905550244741136
