t_s,x,y,yaw,vx,hitch_deg,steer_rad,steer_rate_cmd,vel_cmd,trailer_x,trailer_y,e_y,e_y_t,e_psi_deg,e_psi_t_deg,s_path,enabled,reverse,in_window,progress_m
92.7,29.572951302389342,-0.8019557838331183,2.2441834661622746,-0.24318036277915747,26.620725823741534,-0.3771179914474487,-0.35500717207621574,-0.25,30.15326428359509,-3.5411594717402624,2.000772973861196,1.7832907531646114,14.838583605023139,2.755339989045282,22.38558257480791,True,True,True,18.640018963478543
92.799248896,29.589960168174525,-0.8224463992509746,2.262496617854727,-0.2443703551852673,27.570504175358593,-0.3771179914474487,0.14117267013107815,-0.25,30.175028604323145,-3.5606383072484045,2.006211236968775,1.8016583565471058,15.887849906583522,2.8548279389885973,22.38558257480791,True,True,True,18.640018963478543
92.900044032,29.60758790025711,-0.8435061857675026,2.280504545234823,-0.2472089272849448,29.029389767797408,-0.36851933630381317,0.24092612886186118,-0.25,30.172228610969224,-3.585983326566768,2.012283245834296,1.794839541555002,16.91962814324111,2.4277205832074156,22.38558257480791,True,True,True,18.640018963478543
92.998702336,29.62242078480468,-0.8597503883249975,2.296114632726181,-0.2500302238171086,30.781813194652607,-0.3519880904396415,0.4360999881327706,-0.25,30.145929829841684,-3.6103754590615464,2.0183189195444426,1.7649770760820287,17.814020274325873,1.5696892874369763,22.38558257480791,True,True,True,18.640018963478543
93.097508352,29.642536545778682,-0.8816638821109027,2.318002737127048,-0.2537142489459219,31.72511124742838,-0.3252896858310203,0.38952702997595756,-0.25,30.180958437064273,-3.629408751450931,2.02690679347173,1.7965093904155038,19.068116278037287,1.8804872383726012,22.38558257480791,True,True,True,18.640018963478543
93.197822464,29.65753581712319,-0.8969470419383838,2.3335565224007464,-0.24967931246735825,32.742932275004115,-0.279157838400738,0.4363323152065277,-0.25,30.189882390072636,-3.645875401548539,2.0340128375179356,1.8026839347513548,19.959282529672926,1.7538324624325294,22.38558257480791,True,True,True,18.640018963478543
93.298695168,29.678360558526624,-0.9180356441868845,2.3551461150200925,-0.24353189835609276,34.12022380987488,-0.2398959588837976,0.436221340223494,-0.25,30.203974297908186,-3.6682593072683676,2.0442627633237183,1.813013178230722,21.19627506816825,1.6135334660570608,22.38558257480791,True,True,True,18.640018963478543
93.398623488,29.69528394681337,-0.934797931115912,2.3688426227026733,-0.24564489989764643,35.77856216113009,-0.19972370152812194,0.3810435785882397,-0.25,30.178905676409542,-3.692715627977514,2.052981331289491,1.7843579033126102,21.98102715244864,2.647942047026911,22.373143426881782,True,True,True,18.65245811140467
93.498518016,29.71215536865072,-0.9505456739492079,2.3810020991281338,-0.24534440972729155,36.81549957611893,-0.15456012235083846,0.4363323152065277,-0.25,30.179390784781265,-3.711286709597665,2.062083933810141,1.7819953371771828,22.677713832716343,2.3076913123057516,22.351935435310008,True,True,True,18.673666102976444
93.599823616,29.734433264113083,-0.9715742823808141,2.3937036968857583,-0.2519108658318512,37.74399441529696,-0.11678218491500891,0.4363323152065277,-0.25,30.19199303961737,-3.7339354194953054,2.0740090686583965,1.7912730559864174,23.405461777301063,2.1069444177124734,22.32371667988648,True,True,True,18.70188485839997
93.695529472,29.749815124481852,-0.9855442624174819,2.4019372250137234,-0.2475152040189083,38.835316360868504,-0.0786382608813498,0.4363323152065277,-0.25,30.177477570497857,-3.7526916802952517,2.082464000015147,1.774441553169812,23.87720818953571,1.4873688843755528,22.304735739278023,True,True,True,18.72086579900843
93.794272512,29.770849740410103,-1.0045826171279255,2.4107270461983052,-0.24553174955533724,40.586731023357444,-0.035768747180420016,0.4363323152065277,-0.25,30.138152236998586,-3.7803868025847933,2.0940524578455766,1.731916617287655,24.38082784608693,0.23957387843785696,22.278839375393453,True,True,True,18.746762162893
