t_ns,v0,v1
1785948372755921456,0.01236847136169672,-1.0
1785948372854094942,0.116648830473423,-1.0
1785948372953890428,-0.41077685356140137,-1.0
1785948373053596279,-0.30388012528419495,-1.0
1785948373153842818,-0.2732442021369934,-1.0
1785948373256649658,-0.3183125853538513,-1.0
1785948373357975429,-0.13528335094451904,-1.0
1785948373454441600,0.03212931752204895,-1.0
1785948373559368631,0.16341738402843475,-1.0
1785948373656171483,0.09113394469022751,-1.0
1785948373753317034,0.36646604537963867,-1.0
1785948373854638805,0.4363323152065277,-1.0
1785948373956537266,0.36365634202957153,-1.0
1785948374055696957,0.4363323152065277,-1.0
1785948374153367451,0.4363323152065277,-1.0
1785948374253596422,0.4363323152065277,-1.0
1785948374355914191,0.4363323152065277,-1.0
1785948374454405862,0.4363323152065277,-1.0
1785948374553498511,0.4363323152065277,-1.0
1785948374658469383,0.4363323152065277,-1.0
1785948374755358575,0.4363323152065277,-1.0
1785948374853127664,0.4363323152065277,-1.0
1785948374952649478,0.4363323152065277,-1.0
1785948375058721311,0.4363323152065277,-1.0
1785948375153814032,0.4363323152065277,-1.0
1785948375252369801,0.4363323152065277,-1.0
1785948375354409290,0.4363323152065277,-1.0
1785948375453555028,0.4363323152065277,-1.0
1785948375553074186,0.4363323152065277,-1.0
1785948375656210956,0.4363323152065277,-1.0
1785948375774739160,0.4363323152065277,-1.0
1785948375855565664,0.4363323152065277,-1.0
1785948375962232107,0.4363323152065277,-1.0
1785948376058030066,0.4363323152065277,-1.0
1785948376154687442,0.4363323152065277,-1.0
1785948376254686742,0.4363323152065277,-1.0
1785948376353108875,0.4363323152065277,-1.0
1785948376454227600,0.4363323152065277,-1.0
1785948376555258163,0.4363323152065277,-1.0
1785948376656049102,0.4363323152065277,-1.0
1785948376753558568,0.4363323152065277,-1.0
1785948376857759561,0.4363323152065277,-1.0
1785948376953862201,0.4363323152065277,-1.0
1785948377055676371,0.4363323152065277,-1.0
1785948377154311598,0.4363323152065277,-1.0
1785948377253739937,0.4363323152065277,-1.0
1785948377356241584,0.4363323152065277,-1.0
1785948377468450176,0.4363323152065277,-1.0
1785948377557040688,0.434878408908844,-1.0
1785948377655944019,0.36831551790237427,-1.0
1785948377754837878,0.4363323152065277,-1.0
1785948377855105058,0.36886730790138245,-1.0
1785948377953776670,0.30558255314826965,-1.0
1785948378054561177,0.4363323152065277,-1.0
1785948378154951689,0.1350403130054474,-1.0
1785948378255100881,0.13807222247123718,-1.0
1785948378357425467,0.21043705940246582,-1.0
1785948378460020428,0.035578466951847076,-1.0
1785948378560653155,-0.045865971595048904,-1.0
1785948378655659602,0.027080727741122246,-1.0
1785948378753474773,-0.007194573991000652,-1.0
1785948378857977023,-0.4363323152065277,-1.0
1785948378953913578,-0.4363323152065277,-1.0
1785948379057156206,-0.3701942563056946,-1.0
1785948379157169523,-0.4363323152065277,-1.0
1785948379254043097,-0.4363323152065277,-1.0
1785948379355014394,-0.3935786485671997,-1.0
1785948379454314121,-0.4363323152065277,-1.0
1785948379559417061,-0.4363323152065277,-1.0
1785948379655874464,-0.4363323152065277,-1.0
1785948379754184817,-0.4363323152065277,-1.0
1785948379852909743,-0.4363323152065277,-1.0
1785948379954917487,-0.4363323152065277,-1.0
1785948380052797140,-0.4363323152065277,-1.0
1785948380153027679,-0.4363323152065277,-1.0
1785948380253198152,-0.4363323152065277,-1.0
1785948380358504106,-0.4363323152065277,-1.0
1785948380454019688,-0.4363323152065277,-1.0
1785948380552430365,-0.4363323152065277,-1.0
1785948380655545918,-0.4363323152065277,-1.0
1785948380761037509,-0.4363323152065277,-1.0
1785948380855934193,-0.4363323152065277,-1.0
1785948380954012892,-0.4363323152065277,-1.0
1785948381056706288,-0.4363323152065277,-1.0
1785948381152772607,-0.4363323152065277,-1.0
1785948381253075756,-0.4363323152065277,-1.0
1785948381371181323,-0.4363323152065277,-1.0
1785948381452453217,-0.4363323152065277,-1.0
1785948381554576420,-0.4363323152065277,-1.0
1785948381654344417,-0.4363323152065277,-1.0
1785948381754459593,-0.4363323152065277,-1.0
1785948381855434858,-0.4363323152065277,-1.0
1785948381955605811,-0.4363323152065277,-1.0
1785948382053223280,-0.4363323152065277,-1.0
1785948382160461548,-0.4363323152065277,-1.0
1785948382255396249,-0.4363323152065277,-1.0
1785948382354077653,-0.4363323152065277,-1.0
1785948382460109645,-0.4363323152065277,-1.0
1785948382554286083,-0.4363323152065277,-1.0
1785948382662696098,-0.4363323152065277,-1.0
1785948382753485779,-0.4363323152065277,-1.0
1785948382895015885,-0.4363323152065277,-1.0
1785948382962340515,-0.4363323152065277,-1.0
1785948383054316536,-0.4363323152065277,-1.0
1785948383160841790,-0.4363323152065277,-1.0
1785948383259633406,-0.4363323152065277,-1.0
1785948383359039569,-0.4363323152065277,-1.0
1785948383458770925,-0.4363323152065277,-1.0
1785948383554798778,-0.4363323152065277,-1.0
1785948383666246291,-0.4363323152065277,-1.0
1785948383763121786,-0.4363323152065277,-1.0
1785948383854382394,-0.4363323152065277,-1.0
1785948383955691717,-0.3764548897743225,-1.0
1785948384055952176,-0.32359442114830017,-1.0
1785948384160991531,-0.42970213294029236,-1.0
1785948384254132898,-0.35297515988349915,-1.0
1785948384353847134,-0.33968672156333923,-1.0
1785948384457311977,-0.3971365988254547,-1.0
1785948384554884548,-0.36087360978126526,-1.0
1785948384653728998,-0.11720605939626694,-1.0
1785948384754961679,0.12272823601961136,-1.0
1785948384858538781,0.08945589512586594,-1.0
1785948384954111517,0.1562332957983017,-1.0
1785948385055781299,0.26739993691444397,-1.0
1785948385157311652,0.09294755756855011,-1.0
1785948385255755770,0.4363323152065277,-1.0
1785948385354369173,0.4363323152065277,-1.0
1785948385455595101,0.4069840908050537,-1.0
1785948385553463522,0.4363323152065277,-1.0
1785948385654750316,0.4363323152065277,-1.0
1785948385766719221,0.4363323152065277,-1.0
1785948385854082688,0.4363323152065277,-1.0
1785948385954887516,0.4363323152065277,-1.0
1785948386055552884,0.4363323152065277,-1.0
1785948386154521433,0.4363323152065277,-1.0
1785948386261249349,0.4363323152065277,-1.0
1785948386352951218,0.4363323152065277,-1.0
1785948386453889746,0.4363323152065277,-1.0
1785948386555680619,0.4363323152065277,-1.0
1785948386652133254,0.4363323152065277,-1.0
1785948386752244077,0.4363323152065277,-1.0
1785948386864861801,0.4363323152065277,-1.0
1785948386955429492,0.4363323152065277,-1.0
1785948387052998031,0.4363323152065277,-1.0
1785948387154880555,0.4363323152065277,-1.0
1785948387252672077,0.4363323152065277,-1.0
1785948387352830102,0.4363323152065277,-1.0
1785948387453755894,0.4363323152065277,-1.0
1785948387553810875,0.4363323152065277,-1.0
1785948387659207008,0.4363323152065277,-1.0
1785948387753757057,0.4363323152065277,-1.0
1785948387857729596,0.4363323152065277,-1.0
1785948387968723527,0.4363323152065277,-1.0
