t_ns,hitch_angle,hitch_rate
1785948359023474475,0.4595739543437958,0.0
1785948359168357800,0.453368604183197,0.0
1785948359296490707,0.4419516921043396,0.0
1785948359441559510,0.4331998825073242,0.0
1785948359592850322,0.40704306960105896,0.0
1785948359717866559,0.3874087333679199,0.0
1785948359860604829,0.3645723760128021,0.0
1785948359985829137,0.3525093197822571,0.0
1785948360130904084,0.3384663760662079,0.0
1785948360284064552,0.31811532378196716,0.0
1785948360421640396,0.3021273612976074,0.0
1785948360575386545,0.2709471881389618,0.0
1785948360703602494,0.2578915059566498,0.0
1785948360849828963,0.22115592658519745,0.0
1785948360999961213,0.20831771194934845,0.0
1785948361125553084,0.173692986369133,0.0
1785948361274610934,0.15844394266605377,0.0
1785948361429597888,0.14225727319717407,0.0
1785948361574530847,0.11123970150947571,0.0
1785948361726222888,0.09843263775110245,0.0
1785948361859857590,0.06509623676538467,0.0
1785948362012004556,0.05023828521370888,0.0
1785948362139772651,0.024720320478081703,0.0
1785948362285230522,0.011011157184839249,0.0
1785948362436636314,-0.0002438292867736891,0.0
1785948362565381238,-0.030336303636431694,0.0
1785948362713010886,-0.042460884898900986,0.0
1785948362868381788,-0.08050806820392609,0.0
1785948362999196662,-0.09639083594083786,0.0
1785948363153675601,-0.12776678800582886,0.0
1785948363283000831,-0.14508362114429474,0.0
1785948363431992503,-0.1605900526046753,0.0
1785948363602936445,-0.1969185769557953,0.0
1785948363736604012,-0.22017532587051392,0.0
1785948363885491457,-0.2357594519853592,0.0
1785948364014338049,-0.2418343424797058,0.0
1785948364161454305,-0.2460106611251831,0.0
1785948364312950659,-0.25734955072402954,0.0
1785948364446465902,-0.2506107985973358,0.0
1785948364602903140,-0.24420788884162903,0.0
1785948364733318834,-0.22511056065559387,0.0
1785948364882204103,-0.2147846519947052,0.0
1785948365037338262,-0.19679012894630432,0.0
1785948365165133014,-0.16222451627254486,0.0
1785948365341246966,-0.14073345065116882,0.0
1785948365478373740,-0.11045331507921219,0.0
1785948365695712729,-0.09292544424533844,0.0
1785948365854888480,-0.04654036834836006,0.0
1785948365989122592,-0.03061484545469284,0.0
1785948366139612965,-0.01614435389637947,0.0
1785948366273054221,0.012782584875822067,0.0
1785948366426613005,0.02599632926285267,0.0
1785948366584798519,0.05325162783265114,0.0
1785948366712274222,0.07313694804906845,0.0
1785948366863595787,0.10712659358978271,0.0
1785948367012410750,0.12641029059886932,0.0
1785948367170620328,0.16513483226299286,0.0
1785948367304463197,0.1865629106760025,0.0
1785948367476894959,0.23075474798679352,0.0
1785948367639369753,0.24693357944488525,0.0
1785948367769983565,0.29162126779556274,0.0
1785948367919172971,0.3119218945503235,0.0
1785948368051078726,0.356600821018219,0.0
1785948368199708979,0.367489218711853,0.0
1785948368357083557,0.4104619324207306,0.0
1785948368485734430,0.4276902973651886,0.0
1785948368639463907,0.44194987416267395,0.0
1785948368770028566,0.4622407555580139,0.0
1785948368920086766,0.4730556011199951,0.0
1785948369074377412,0.48192811012268066,0.0
1785948369226574779,0.4842456579208374,0.0
1785948369397068116,0.47924578189849854,0.0
1785948369526554374,0.46562835574150085,0.0
1785948369678523767,0.462466299533844,0.0
1785948369833744040,0.4481127858161926,0.0
1785948369959297350,0.4205321967601776,0.0
1785948370111256214,0.4075857400894165,0.0
1785948370237660205,0.3831392526626587,0.0
1785948370386452415,0.37014177441596985,0.0
1785948370533546654,0.354979932308197,0.0
1785948370659143453,0.3327803313732147,0.0
1785948370808581058,0.31916478276252747,0.0
1785948370939662020,0.28924864530563354,0.0
1785948371086140209,0.2767453193664551,0.0
1785948371238487341,0.26302722096443176,0.0
1785948371375599299,0.2310377061367035,0.0
1785948371536002319,0.2179146707057953,0.0
1785948371676657967,0.18973204493522644,0.0
1785948371834057185,0.17368625104427338,0.0
1785948371992935967,0.14369060099124908,0.0
1785948372120383541,0.12892834842205048,0.0
1785948372270959580,0.09752561897039413,0.0
1785948372397133452,0.08195219188928604,0.0
1785948372546491343,0.06857982277870178,0.0
1785948372676715864,0.03833043575286865,0.0
1785948372821806075,0.025175850838422775,0.0
1785948372971171999,-0.002383793704211712,0.0
1785948373105693959,-0.012549255043268204,0.0
1785948373255686845,-0.042110975831747055,0.0
1785948373381685000,-0.05928764119744301,0.0
1785948373530000939,-0.07416140288114548,0.0
1785948373681135075,-0.10932326316833496,0.0
1785948373807011306,-0.12739084661006927,0.0
1785948373953429301,-0.1632053107023239,0.0
1785948374078629416,-0.18222354352474213,0.0
1785948374220739219,-0.20088930428028107,0.0
1785948374375795680,-0.24322772026062012,0.0
1785948374502768615,-0.26357242465019226,0.0
1785948374657898070,-0.303056001663208,0.0
1785948374788633230,-0.3203902542591095,0.0
1785948374937911663,-0.3334041237831116,0.0
1785948375105309675,-0.3558295965194702,0.0
1785948375234469492,-0.3701545298099518,0.0
1785948375389276857,-0.3725903332233429,0.0
1785948375519161976,-0.37148046493530273,0.0
1785948375671027941,-0.364505410194397,0.0
1785948375836002137,-0.3597249686717987,0.0
1785948375981291139,-0.33691683411598206,0.0
1785948376161870920,-0.32856494188308716,0.0
1785948376291848233,-0.30294954776763916,0.0
1785948376447085819,-0.28287240862846375,0.0
1785948376579009079,-0.23960362374782562,0.0
1785948376730473080,-0.2203882336616516,0.0
1785948376899540742,-0.18696872889995575,0.0
1785948377032457407,-0.17873330414295197,0.0
1785948377188892917,-0.1425059735774994,0.0
1785948377321130777,-0.11701041460037231,0.0
1785948377476365515,-0.0788845494389534,0.0
1785948377635030596,-0.06300009787082672,0.0
1785948377767329098,-0.03573663532733917,0.0
1785948377921635776,-0.024251464754343033,0.0
1785948378054069867,0.008970336057245731,0.0
1785948378206849652,0.02536124177277088,0.0
1785948378363473583,0.054792147129774094,0.0
1785948378494031265,0.06959328055381775,0.0
1785948378649580893,0.0870310589671135,0.0
1785948378781658077,0.12882767617702484,0.0
1785948378932022845,0.15098722279071808,0.0
1785948379085687137,0.18761120736598969,0.0
1785948379214110611,0.20439022779464722,0.0
1785948379366828506,0.2467576414346695,0.0
1785948379496571797,0.2772209346294403,0.0
1785948379655312655,0.32792097330093384,0.0
1785948379785676700,0.34832563996315,0.0
1785948379939793613,0.36773642897605896,0.0
1785948380096786515,0.3884507417678833,0.0
1785948380224851579,0.4100659489631653,0.0
1785948380375682346,0.41824665665626526,0.0
1785948380499830429,0.4312678873538971,0.0
1785948380643354994,0.4305984377861023,0.0
1785948380796138779,0.4309982359409332,0.0
1785948380918030508,0.4262305498123169,0.0
1785948381063181489,0.4186316728591919,0.0
1785948381185243686,0.40534326434135437,0.0
1785948381331087489,0.3931273818016052,0.0
1785948381473948098,0.3681125342845917,0.0
1785948381595758832,0.3550546169281006,0.0
1785948381739185090,0.34330594539642334,0.0
1785948381870913943,0.32116734981536865,0.0
1785948382009910501,0.3092350363731384,0.0
1785948382132334085,0.2794313430786133,0.0
1785948382276861752,0.2643003761768341,0.0
1785948382427745641,0.24972067773342133,0.0
1785948382554352805,0.21959692239761353,0.0
1785948382702875279,0.20285552740097046,0.0
1785948382833039030,0.17236123979091644,0.0
1785948383002606835,0.15591192245483398,0.0
1785948383160987331,0.12617459893226624,0.0
1785948383281800403,0.11108449101448059,0.0
1785948383429226652,0.09468016773462296,0.0
1785948383564544413,0.06636617332696915,0.0
1785948383720730923,0.05151776969432831,0.0
1785948383876340392,0.02472320944070816,0.0
1785948384005073796,0.009180906228721142,0.0
1785948384165597972,-0.012633298523724079,0.0
1785948384294253262,-0.024042336270213127,0.0
1785948384451811973,-0.04206879064440727,0.0
1785948384606832784,-0.07020986080169678,0.0
1785948384737925523,-0.10464280843734741,0.0
1785948384893095139,-0.12203200906515121,0.0
1785948385026566828,-0.1360744684934616,0.0
1785948385171745555,-0.1756729781627655,0.0
1785948385329079107,-0.19496890902519226,0.0
1785948385458931937,-0.23620380461215973,0.0
1785948385606102850,-0.2583943009376526,0.0
1785948385736411469,-0.30414387583732605,0.0
1785948385892170031,-0.32109081745147705,0.0
1785948386025074215,-0.342992901802063,0.0
1785948386176055387,-0.3808167576789856,0.0
1785948386328710240,-0.3918541371822357,0.0
1785948386456310842,-0.4116666316986084,0.0
