t_ns,path_id
1785945600110257614,1
1785945600198493568,1
1785945600298029572,1
1785945600396658733,1
1785945600502035104,1
1785945600597326629,1
1785945600700422676,1
1785945600796942014,1
1785945600899364216,1
1785945600998513457,1
1785945601109549037,1
1785945601199958208,1
1785945601297200959,1
1785945601399475957,1
1785945601498855957,1
1785945601597319577,1
1785945601697693782,1
1785945601797351422,1
1785945601897205419,1
1785945601996681774,1
1785945602114494101,1
1785945602198053659,1
1785945602296938443,1
1785945602398702930,1
1785945602500770722,1
1785945602598806073,1
1785945602697833742,1
1785945602798090632,1
1785945602897145214,1
1785945603009579620,1
1785945603115076090,1
1785945603197339417,1
1785945603298986973,1
1785945603397049109,1
1785945603498608917,1
1785945603598520357,1
1785945603699176394,1
1785945603797424168,1
1785945603897402585,1
1785945603998328199,1
1785945604113897835,1
1785945604200718322,1
1785945604299279129,1
1785945604398817598,1
1785945604499000757,1
1785945604599032072,1
1785945604699466279,1
1785945604803839260,1
1785945604899006237,1
1785945604998714662,1
1785945605101493900,1
1785945605198496068,1
1785945605299127049,1
1785945605399328097,1
1785945605499342163,1
1785945605601029944,1
1785945605699477659,1
1785945605799097538,1
1785945605903935429,1
1785945605997430292,1
1785945606104346421,1
1785945606197404759,1
1785945606299799089,1
1785945606406743507,1
1785945606499367336,1
1785945606604723450,1
1785945606702725104,1
1785945606798663849,1
1785945606899150857,1
1785945606999068601,1
1785945607099974470,1
1785945607198733267,1
1785945607301519032,1
1785945607401168320,1
1785945607499775880,1
1785945607601858936,1
1785945607709080195,1
1785945607799508534,1
1785945607898712816,1
1785945607998162482,1
1785945608099771860,1
1785945608196764588,1
1785945608298478705,1
1785945608397028088,1
1785945608499799965,1
1785945608599899314,1
1785945608698983624,1
1785945608799050652,1
1785945608897305018,1
1785945608998317962,1
1785945609102346133,1
1785945609202457962,1
1785945609297954101,1
1785945609398472823,1
1785945609498644878,1
1785945609597041904,1
1785945609697180134,1
1785945609796957105,1
1785945609898528979,1
1785945610006101095,1
1785945610097438774,1
1785945610197675055,1
1785945610297294294,1
1785945610398090079,1
1785945610497109940,1
1785945610597420655,1
1785945610699391996,1
1785945610799008867,1
1785945610898833040,1
1785945611002351755,1
1785945611098494121,1
1785945611198295381,1
1785945611296633174,1
1785945611397829932,1
1785945611498232522,1
1785945611597720940,1
1785945611698801631,1
1785945611799163355,1
1785945611898525210,1
1785945611997499150,1
1785945612098753125,1
1785945612198830521,1
1785945612297640776,1
1785945612398041350,1
1785945612518457755,1
1785945612599151307,1
1785945612699690861,1
1785945612798719266,1
1785945612898983548,1
1785945612997583748,1
1785945613098453744,1
1785945613199451872,1
1785945613297698045,1
1785945613397281123,1
1785945613501552085,1
1785945613599606573,1
1785945613698662978,1
1785945613798876923,1
1785945613898085877,1
1785945613997786238,1
1785945614099917680,1
1785945614197981288,1
1785945614298119230,1
1785945614398214451,1
1785945614497742359,1
1785945614597290299,1
1785945614698677911,1
1785945614798507428,1
1785945614904906965,1
1785945614998862546,1
1785945615098214737,1
1785945615198575182,1
1785945615297562913,1
1785945615400636655,1
1785945615497366687,1
1785945615615105252,1
1785945615697648332,1
1785945615798249264,1
1785945615899708781,1
1785945616002571637,1
1785945616097190918,1
1785945616198129940,1
1785945616300910841,1
1785945616407647221,1
1785945616498786718,1
1785945616597710480,1
1785945616699240239,1
1785945616797444812,1
1785945616898056880,1
1785945617001476904,1
1785945617097922928,1
1785945617211375445,1
1785945617299936720,1
1785945617397499833,1
1785945617497998458,1
1785945617597485533,1
1785945617700201984,1
1785945617799445563,1
1785945617898013955,1
1785945618002515579,1
1785945618099241067,1
1785945618197366853,1
1785945618304317575,1
1785945618397127202,1
1785945618498015151,1
1785945618598792088,1
1785945618698597540,1
1785945618798817661,1
1785945618898862608,1
1785945618998030313,1
1785945619099309345,1
1785945619198275828,1
1785945619299661744,1
1785945619407260581,1
1785945619502514537,1
1785945619598261948,1
1785945619698088201,1
1785945619798843217,1
1785945619899659804,1
1785945619996990014,1
1785945620097776423,1
1785945620200573805,1
1785945620297527236,1
1785945620398569941,1
1785945620496783858,1
1785945620600185993,1
1785945620697943768,1
1785945620800524408,1
1785945620897070082,1
1785945620997502945,1
1785945621099549936,1
1785945621197669994,1
1785945621298551222,1
1785945621398696909,1
1785945621501624086,1
1785945621602171353,1
1785945621699178993,1
1785945621797846363,1
1785945621898181943,1
1785945621998287308,1
1785945622097689165,1
1785945622215257165,1
1785945622300202972,1
1785945622404441613,1
1785945622498578255,1
1785945622601823298,1
1785945622697314701,1
1785945622799659013,1
1785945622911652703,1
1785945622999319647,1
1785945623115816223,1
1785945623200702477,1
1785945623300649725,1
1785945623399204516,1
1785945623498535202,1
1785945623598998978,1
1785945623699143128,1
1785945623801683446,1
1785945623902528545,1
1785945623999412886,1
1785945624098293062,1
1785945624197812234,1
1785945624298429007,1
1785945624399410942,1
1785945624502832342,1
1785945624602890762,1
1785945624698707583,1
1785945624798445353,1
1785945624900852227,1
1785945624999991579,1
1785945625102831074,1
1785945625197684058,1
1785945625298545222,1
1785945625399131626,1
1785945625497314341,1
1785945625600196301,1
1785945625698611920,1
1785945625798148628,1
1785945625899424108,1
1785945626002408472,1
1785945626101736277,1
1785945626197650157,1
1785945626300303759,1
1785945626399428838,1
1785945626497604450,1
1785945626601933397,1
1785945626699499486,1
1785945626798635799,1
1785945626898820430,1
1785945627003454955,1
1785945627102698598,1
1785945627201222636,1
1785945627297550160,1
1785945627398674756,1
1785945627499890874,1
1785945627601030030,1
1785945627699635510,1
1785945627801358428,1
1785945627899076842,1
1785945628000169532,1
1785945628100350420,1
1785945628199640785,1
1785945628298423134,1
1785945628396934180,1
1785945628499656647,1
1785945628596805828,1
1785945628699215070,1
1785945628802046373,1
1785945628898292358,1
1785945628998883370,1
1785945629097244395,1
1785945629198962832,1
1785945629299163784,1
1785945629398438084,1
1785945629499490870,1
1785945629598400327,1
1785945629699896422,1
1785945629798166212,1
1785945629897642983,1
1785945629997308303,1
1785945630099821292,1
1785945630196777923,1
1785945630297794131,1
1785945630398712417,1
1785945630497411500,1
1785945630597034930,1
1785945630698015394,1
1785945630800075633,1
1785945630901683508,1
1785945630997324803,1
1785945631099798559,1
1785945631197870327,1
1785945631297561440,1
1785945631398349418,1
1785945631497883726,1
1785945631599709686,1
1785945631698155866,1
1785945631797964646,1
1785945631897773106,1
1785945631998968264,1
1785945632097845305,1
1785945632200067917,1
1785945632301212865,1
1785945632397688554,1
1785945632499603669,1
1785945632598234654,1
1785945632699378450,1
1785945632798500618,1
1785945632898303446,1
1785945633001341155,1
1785945633097583973,1
1785945633200962044,1
1785945633304450166,1
1785945633401214855,1
1785945633496649873,1
1785945633599315474,1
1785945633698476011,1
1785945633798700548,1
1785945633899804343,1
1785945633997849615,1
1785945634098494548,1
1785945634201200311,1
1785945634299071657,1
1785945634398142495,1
1785945634499789731,1
1785945634598130755,1
1785945634698507296,1
1785945634797050535,1
1785945634899238874,1
1785945634997423222,1
1785945635099442084,1
1785945635198781602,1
1785945635299884533,1
1785945635397854923,1
1785945635498697398,1
1785945635597987219,1
1785945635697946595,1
1785945635799309598,1
1785945635897631038,1
1785945635997623696,1
1785945636098363288,1
1785945636198359466,1
1785945636297347037,1
1785945636397793533,1
1785945636496914996,1
1785945636610631873,1
1785945636698037754,1
1785945636796696580,1
1785945636897579120,1
1785945637003705946,1
1785945637100356359,1
1785945637196554760,1
1785945637299996993,1
1785945637397488007,1
1785945637497444376,1
1785945637598418311,1
1785945637698517948,1
1785945637797654068,1
1785945637910454694,1
1785945637998610069,1
1785945638098022389,1
1785945638198455572,1
1785945638299305728,1
1785945638397687713,1
1785945638500062202,1
1785945638597757127,1
1785945638699606801,1
1785945638798243162,1
1785945638898001541,1
1785945639001559905,1
1785945639097971464,1
1785945639199884883,1
1785945639298844454,1
1785945639399001117,1
1785945639497685415,1
1785945639598451728,1
1785945639698927216,1
1785945639803206275,1
1785945639900334207,1
1785945639997505852,1
1785945640099228001,1
1785945640197801993,1
1785945640298284713,1
1785945640397130265,1
1785945640498047014,1
1785945640601264184,1
1785945640700249740,1
1785945640800366369,1
1785945640897616641,1
1785945640999638416,1
1785945641098529216,1
1785945641199126948,1
1785945641297302816,1
1785945641401084899,1
1785945641497968984,1
1785945641597167826,1
1785945641700565097,1
1785945641798493853,1
1785945641900012861,1
1785945641997302750,1
1785945642098680185,1
1785945642198354913,1
1785945642297371030,1
1785945642399064378,1
1785945642496759079,1
1785945642599586286,1
1785945642696918192,1
1785945642799293065,1
1785945642897796238,1
1785945643000365101,1
1785945643104143280,1
1785945643196970220,1
1785945643303312667,1
1785945643398234453,1
1785945643499043744,1
1785945643604090505,1
1785945643701387370,1
1785945643799466370,1
1785945643898808929,1
1785945644002598948,1
1785945644099066028,1
1785945644199896375,1
1785945644299786630,1
1785945644397245484,1
1785945644500465790,1
1785945644599441425,1
1785945644697397958,1
1785945644799555865,1
1785945644902776555,1
1785945644999200146,1
1785945645097448400,1
1785945645197470658,1
1785945645300239239,1
1785945645397462374,1
1785945645497579420,1
1785945645598119070,1
1785945645699285459,1
1785945645804255994,1
1785945645898965645,1
1785945645999410092,1
1785945646100090867,1
1785945646199447506,1
1785945646297819955,1
1785945646400157643,1
1785945646496769303,1
1785945646598854472,1
1785945646701698959,1
1785945646800017839,1
1785945646898309485,1
1785945646999729898,1
1785945647101686294,1
1785945647197457290,1
1785945647300325490,1
1785945647400047643,1
1785945647497920142,1
1785945647598520370,1
1785945647699699239,1
1785945647800001346,1
1785945647898704909,1
1785945648002102277,1
1785945648097823383,1
1785945648200304915,1
1785945648301331620,1
1785945648397999570,1
1785945648499650997,1
1785945648598346272,1
1785945648699809950,1
1785945648797184898,1
1785945648900475222,1
1785945649001186941,1
1785945649100765059,1
1785945649197577653,1
1785945649303207984,1
1785945649398531734,1
1785945649501333980,1
1785945649602639893,1
1785945649697724020,1
1785945649799675136,1
1785945649898958877,1
1785945649998781609,1
1785945650097915137,1
1785945650207246379,1
1785945650298644315,1
1785945650406122893,1
1785945650515390133,1
1785945650602576743,1
1785945650696894383,1
1785945650797073158,1
1785945650906967808,1
1785945650997034825,1
1785945651098324930,1
1785945651197986057,1
1785945651297582351,1
1785945651401389107,1
1785945651497986239,1
1785945651599856585,1
1785945651697924994,1
1785945651799780139,1
1785945651899032199,1
1785945652005873670,1
1785945652098123503,1
1785945652198517293,1
1785945652297721479,1
1785945652400227652,1
1785945652501099857,1
1785945652600997695,1
1785945652700240795,1
1785945652796988427,1
1785945652899012890,1
1785945652997413884,1
1785945653102205054,1
1785945653200465147,1
1785945653299871324,1
1785945653397714509,1
1785945653498344018,1
1785945653597361799,1
1785945653697883944,1
1785945653798166467,1
1785945653900495898,1
1785945653998511153,1
1785945654097195548,1
1785945654200658869,1
1785945654306096746,1
1785945654399672988,1
1785945654498526731,1
1785945654601903746,1
1785945654699485548,1
1785945654797284156,1
1785945654901859191,1
1785945655000933229,1
1785945655098261135,1
1785945655200768332,1
1785945655298932999,1
1785945655398663409,1
1785945655499938122,1
1785945655599547568,1
1785945655697342368,1
1785945655805874545,1
1785945655900664487,1
1785945655998346228,1
1785945656098429768,1
1785945656199090766,1
1785945656297594835,1
1785945656397902223,1
1785945656497309999,1
1785945656598573479,1
1785945656699233548,1
1785945656798228896,1
1785945656903615476,1
1785945657002614600,1
1785945657099044111,1
1785945657199857145,1
1785945657298510787,1
1785945657398585719,1
1785945657498830224,1
1785945657601094822,1
1785945657700077914,1
1785945657800039946,1
1785945657911391632,1
1785945657997719913,1
1785945658103815313,1
1785945658200977102,1
1785945658297374421,1
1785945658398462983,1
1785945658497693250,1
1785945658598743444,1
1785945658697202871,1
1785945658797132359,1
1785945658900961964,1
1785945658998208364,1
1785945659100080214,1
1785945659197081038,1
1785945659298901238,1
1785945659397942156,1
1785945659501443750,1
1785945659599127635,1
1785945659699701238,1
1785945659798959922,1
1785945659897497912,1
1785945659997003931,1
1785945660100522775,1
1785945660201805551,1
1785945660298238870,1
1785945660397549716,1
1785945660498244090,1
1785945660597809791,1
1785945660700234714,1
1785945660797305396,1
1785945660898378278,1
1785945660997956044,1
1785945661098930267,1
1785945661198310106,1
1785945661302469129,1
1785945661398152250,1
1785945661499252781,1
1785945661598013241,1
1785945661697764580,1
1785945661798653297,1
1785945661898420092,1
1785945661998089604,1
1785945662099657445,1
