k_hitch,k_y,mean_cte,completion_rate
1.577777777777778,0.1111111111111111,0.7904600592928489,0.0
1.577777777777778,0.2222222222222222,1.0474957097342905,0.0
1.577777777777778,0.3333333333333333,1.1714019934078552,0.0
1.577777777777778,0.4444444444444444,0.9862722285216577,0.0
1.577777777777778,0.5555555555555556,0.8352677517534683,0.0
1.577777777777778,0.6666666666666666,0.8299273397311522,0.0
1.577777777777778,0.7777777777777777,1.4710263298351687,0.0
1.577777777777778,0.8888888888888888,0.9865672273354427,0.0
1.577777777777778,1.0,0.5577228366314949,0.0
1.788888888888889,0.0,0.6153801948452328,0.0
1.788888888888889,0.1111111111111111,0.7491068950008583,0.0
1.788888888888889,0.2222222222222222,0.9713238708736371,0.0
1.788888888888889,0.3333333333333333,0.8264738380625201,0.0
1.788888888888889,0.4444444444444444,0.684225574302938,0.0
1.788888888888889,0.5555555555555556,1.012103946883554,0.0
1.788888888888889,0.6666666666666666,0.771413060639429,0.0
1.788888888888889,0.7777777777777777,0.7316408490577371,0.0
1.788888888888889,0.8888888888888888,0.910853034594675,0.0
1.788888888888889,1.0,0.9266790342025887,0.0
2.0,0.0,0.7876756072938823,0.0
2.0,0.1111111111111111,1.3976525314743835,0.0
2.0,0.2222222222222222,0.8555227083188509,0.0
2.0,0.3333333333333333,0.6122953028911785,0.0
2.0,0.4444444444444444,0.7005876433991902,0.0
2.0,0.5555555555555556,1.1228134901777103,0.0
2.0,0.6666666666666666,0.6937538904878409,0.0
2.0,0.7777777777777777,0.978204591630828,0.0
2.0,0.8888888888888888,0.7121445656048605,0.0
2.0,1.0,1.2161829650431872,0.0
