t_ns,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31
1785948248354635085,0.08278200030326843,0.03355669602751732,0.2691556513309479,0.052371248602867126,-0.4408908188343048,-0.15119266510009766,-0.26697614789009094,-0.05872822925448418,0.09000000357627869,0.0925000011920929,0.10000000149011612,0.10750000178813934,0.11999999731779099,0.13249999284744263,0.1525000035762787,0.18250000476837158,0.22499999403953552,0.30250000953674316,0.47749999165534973,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.4300000071525574,0.29499998688697815,0.22499999403953552,0.1899999976158142,0.16249999403953552,0.14249999821186066,0.1274999976158142,0.11749999970197678,0.10750000178813934,0.10249999910593033
1785948248470389286,0.09329400211572647,0.033619653433561325,0.31401342153549194,0.040420565754175186,-0.37203001976013184,-0.139182448387146,-0.26697564125061035,-0.058702174574136734,0.09000000357627869,0.0925000011920929,0.10000000149011612,0.10750000178813934,0.11999999731779099,0.13249999284744263,0.1525000035762787,0.18250000476837158,0.22499999403953552,0.30250000953674316,0.47749999165534973,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.4300000071525574,0.29499998688697815,0.22499999403953552,0.1899999976158142,0.16249999403953552,0.14249999821186066,0.1274999976158142,0.11749999970197678,0.10750000178813934,0.10249999910593033
1785948248555984797,0.10117799788713455,0.026023762300610542,0.304709792137146,0.033558398485183716,-0.35700559616088867,-0.1386551558971405,-0.2669762670993805,-0.0587257482111454,0.09000000357627869,0.0925000011920929,0.10000000149011612,0.10999999940395355,0.11999999731779099,0.13500000536441803,0.1550000011920929,0.1850000023841858,0.23000000417232513,0.3100000023841858,0.47749999165534973,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.4124999940395355,0.2874999940395355,0.2224999964237213,0.1875,0.1599999964237213,0.14000000059604645,0.125,0.11500000208616257,0.10750000178813934,0.10000000149011612
1785948248655395312,0.10380599647760391,0.02818978577852249,0.2399359941482544,0.009181240573525429,-0.26373931765556335,-0.11211486905813217,-0.26697736978530884,-0.05870557203888893,0.09000000357627869,0.0925000011920929,0.10000000149011612,0.10999999940395355,0.11999999731779099,0.13500000536441803,0.1550000011920929,0.1850000023841858,0.23000000417232513,0.3075000047683716,0.47749999165534973,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.41749998927116394,0.28999999165534973,0.2224999964237213,0.1875,0.1599999964237213,0.14000000059604645,0.1274999976158142,0.11500000208616257,0.10750000178813934,0.10000000149011612
1785948248756605848,0.10512000322341919,0.02818978577852249,0.2281515747308731,0.00113578699529171,-0.24665029346942902,-0.10406885296106339,-0.2669812738895416,-0.05871778726577759,0.09000000357627869,0.0925000011920929,0.10000000149011612,0.10999999940395355,0.11999999731779099,0.13500000536441803,0.1550000011920929,0.1850000023841858,0.23000000417232513,0.3075000047683716,0.47749999165534973,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.41749998927116394,0.28999999165534973,0.2224999964237213,0.1875,0.1599999964237213,0.14000000059604645,0.1274999976158142,0.11500000208616257,0.10750000178813934,0.10000000149011612
1785948248857342674,0.10512000322341919,0.027993187308311462,0.22554050385951996,-0.015895498916506767,-0.24016553163528442,-0.08723197132349014,-0.2669753432273865,-0.05872753635048866,0.09000000357627869,0.0925000011920929,0.10000000149011612,0.10999999940395355,0.11999999731779099,0.13500000536441803,0.1550000011920929,0.1850000023841858,0.23000000417232513,0.3075000047683716,0.47749999165534973,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.41749998927116394,0.28999999165534973,0.2224999964237213,0.1875,0.1599999964237213,0.14000000059604645,0.1274999976158142,0.11500000208616257,0.10750000178813934,0.10000000149011612
1785948248955743046,0.10577700287103653,0.015468891710042953,0.2712559700012207,-0.040476880967617035,-0.2144216001033783,-0.04512549564242363,-0.2425944209098816,-0.07167407125234604,0.0925000011920929,0.0949999988079071,0.10499999672174454,0.11500000208616257,0.125,0.14249999821186066,0.16249999403953552,0.19499999284744263,0.24500000476837158,0.33250001072883606,0.47749999165534973,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.3799999952316284,0.27000001072883606,0.20999999344348907,0.17749999463558197,0.1525000035762787,0.13500000536441803,0.11999999731779099,0.10999999940395355,0.10249999910593033,0.09749999642372131
1785948249056806665,0.10512000322341919,-0.004192485939711332,0.29337382316589355,-0.04743015021085739,-0.20092454552650452,-0.057836808264255524,-0.24259820580482483,-0.07164882868528366,0.09749999642372131,0.10000000149011612,0.10999999940395355,0.11999999731779099,0.13249999284744263,0.15000000596046448,0.17499999701976776,0.20999999344348907,0.26750001311302185,0.3725000023841858,0.4749999940395355,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.3375000059604645,0.24500000476837158,0.19499999284744263,0.16750000417232513,0.14249999821186066,0.1274999976158142,0.11500000208616257,0.10499999672174454,0.10000000149011612,0.0925000011920929
1785948249157044821,0.10512000322341919,-0.004192485939711332,0.29846975207328796,-0.06258630007505417,-0.10976086556911469,-0.042116355150938034,-0.24259887635707855,-0.07166236639022827,0.09749999642372131,0.10000000149011612,0.10999999940395355,0.11999999731779099,0.13249999284744263,0.15000000596046448,0.17499999701976776,0.20999999344348907,0.26750001311302185,0.3725000023841858,0.4749999940395355,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.3375000059604645,0.24500000476837158,0.19499999284744263,0.16750000417232513,0.14249999821186066,0.1274999976158142,0.11500000208616257,0.10499999672174454,0.10000000149011612,0.0925000011920929
1785948249258963858,0.10512000322341919,-0.017138861119747162,0.2591901123523712,-0.08117854595184326,-0.06660980731248856,-0.03647074103355408,-0.24259300529956818,-0.07163790613412857,0.09749999642372131,0.10000000149011612,0.11249999701976776,0.12250000238418579,0.13500000536441803,0.1525000035762787,0.17749999463558197,0.2175000011920929,0.2800000011920929,0.4074999988079071,0.4749999940395355,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.3199999928474426,0.23749999701976776,0.19249999523162842,0.16249999403953552,0.14000000059604645,0.125,0.11249999701976776,0.10499999672174454,0.09749999642372131,0.0925000011920929
1785948249356001341,0.09132300317287445,-0.02364538051187992,0.23560042679309845,-0.09449659287929535,-0.09799917787313461,-0.029659410938620567,-0.24259279668331146,-0.0716497078537941,0.09749999642372131,0.10499999672174454,0.11500000208616257,0.125,0.14000000059604645,0.1599999964237213,0.1875,0.22750000655651093,0.29249998927116394,0.4325000047683716,0.4749999940395355,0.4724999964237213,0.4724999964237213,0.45500001311302185,0.30250000953674316,0.22499999403953552,0.1850000023841858,0.1550000011920929,0.13500000536441803,0.11999999731779099,0.10999999940395355,0.10000000149011612,0.0949999988079071,0.09000000357627869
1785948249461258238,0.051902998238801956,-0.02364538051187992,0.24339500069618225,-0.11173951625823975,0.16972017288208008,-0.012414931319653988,-0.24259541928768158,-0.07163964211940765,0.09749999642372131,0.10499999672174454,0.11500000208616257,0.125,0.14000000059604645,0.1599999964237213,0.1875,0.22750000655651093,0.29249998927116394,0.4325000047683716,0.4749999940395355,0.4724999964237213,0.4724999964237213,0.45500001311302185,0.30250000953674316,0.22499999403953552,0.1850000023841858,0.1550000011920929,0.13500000536441803,0.11999999731779099,0.10999999940395355,0.10000000149011612,0.0949999988079071,0.09000000357627869
1785948249558940349,0.0006569999968633056,-0.05783962085843086,0.27406251430511475,-0.1272350400686264,-0.22081424295902252,-0.007706653326749802,-0.18085351586341858,-0.08252637088298798,0.10499999672174454,0.11749999970197678,0.125,0.13750000298023224,0.1550000011920929,0.17749999463558197,0.20999999344348907,0.26249998807907104,0.3499999940395355,0.47749999165534973,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.36250001192092896,0.25,0.19249999523162842,0.16249999403953552,0.13750000298023224,0.11999999731779099,0.10750000178813934,0.10000000149011612,0.0925000011920929,0.08749999850988388,0.08250000327825546
1785948249656736543,-0.012482999823987484,-0.07237681746482849,0.3479965031147003,-0.14034828543663025,-0.1083211600780487,-0.009057924151420593,-0.18084613978862762,-0.08253473788499832,0.11249999701976776,0.11999999731779099,0.12999999523162842,0.14499999582767487,0.16249999403953552,0.1875,0.22499999403953552,0.2800000011920929,0.38999998569488525,0.47749999165534973,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.32749998569488525,0.23000000417232513,0.1850000023841858,0.1525000035762787,0.12999999523162842,0.11500000208616257,0.10249999910593033,0.0949999988079071,0.08749999850988388,0.08250000327825546,0.07999999821186066
1785948249755411676,-0.013797000050544739,-0.08601482957601547,0.32742971181869507,-0.1416344940662384,-0.09649131447076797,-0.021408118307590485,-0.1808500438928604,-0.08252956718206406,0.10999999940395355,0.12250000238418579,0.13249999284744263,0.14749999344348907,0.16500000655651093,0.19249999523162842,0.23000000417232513,0.29249998927116394,0.4124999940395355,0.4749999940395355,0.4724999964237213,0.4724999964237213,0.4749999940395355,0.3075000047683716,0.2199999988079071,0.18000000715255737,0.14749999344348907,0.1274999976158142,0.11249999701976776,0.10249999910593033,0.0925000011920929,0.08749999850988388,0.08250000327825546,0.07750000059604645
