t_ns,steer_angle_cmd,steer_rate_cmd,vel_cmd,accel_cmd
1785948180955763522,-0.3779999911785126,-0.4363323152065277,-0.25,0.03881438076496124
1785948181059048840,-0.3779999911785126,-0.4363323152065277,-0.25,-0.0015405149897560477
1785948181158884807,-0.3779999911785126,-0.4363323152065277,-0.25,-0.02320716343820095
1785948181260587998,-0.3779999911785126,-0.4363323152065277,-0.25,0.009522377513349056
1785948181354657361,-0.3779999911785126,-0.3681882619857788,-0.25,0.021478909999132156
1785948181460273085,-0.3779999911785126,-0.2410358339548111,-0.25,0.021494632586836815
1785948181556580339,-0.3779999911785126,-0.17265775799751282,-0.25,0.014301621355116367
1785948181655100234,-0.3779999911785126,-0.3682287931442261,-0.25,0.017206816002726555
1785948181754666465,-0.3708024024963379,0.07197599112987518,-0.25,0.017193814739584923
1785948181865080028,-0.3559896945953369,0.14812718331813812,-0.25,-0.014537920244038105
1785948181957824935,-0.35474103689193726,0.012486598454415798,-0.25,0.0056151943281292915
1785948182057943919,-0.3153243660926819,0.3941664397716522,-0.25,0.031560979783535004
1785948182155146240,-0.2788652181625366,0.36459168791770935,-0.25,0.027371231466531754
1785948182257830419,-0.25655677914619446,0.2230842411518097,-0.25,0.02732735313475132
1785948182354762748,-0.2129235565662384,0.4363323152065277,-0.25,-0.002994170179590583
1785948182455456789,-0.18646617233753204,0.26457375288009644,-0.25,-0.003079707734286785
1785948182555166928,-0.142832949757576,0.4363323152065277,-0.25,-0.0030518986750394106
1785948182654487872,-0.09919971227645874,0.4363323152065277,-0.25,0.012845413759350777
1785948182756546017,-0.05556648597121239,0.4363323152065277,-0.25,0.012848298996686935
1785948182864105126,-0.011933253146708012,0.4363323152065277,-0.25,0.017176466062664986
1785948182953408907,0.031699977815151215,0.4363323152065277,-0.25,0.035905007272958755
1785948183057672974,0.07533320784568787,0.4363323152065277,-0.25,0.03592368960380554
1785948183160024857,0.11896644532680511,0.4363323152065277,-0.25,0.0114320432767272
1785948183260483786,0.16259966790676117,0.4363323152065277,-0.25,-0.011659733019769192
1785948183353427612,0.20623290538787842,0.4363323152065277,-0.25,-0.008799668401479721
1785948183459178763,0.24986614286899567,0.4363323152065277,-0.25,0.011387817561626434
1785948183554955601,0.2934993803501129,0.4363323152065277,-0.25,0.011407963000237942
1785948183658866058,0.33713260293006897,0.4363323152065277,-0.25,0.024384010583162308
1785948183753446604,0.3779999911785126,0.4363323152065277,-0.25,0.04746471345424652
1785948183860159992,0.3779999911785126,0.4363323152065277,-0.25,0.02009464241564274
1785948183961110265,0.3779999911785126,0.4363323152065277,-0.25,-0.024627286940813065
1785948184053394583,0.3779999911785126,0.4363323152065277,-0.25,0.01856357418000698
1785948184161561038,0.3779999911785126,0.4363323152065277,-0.25,0.01859375461935997
1785948184253807819,0.3779999911785126,0.4363323152065277,-0.25,0.022949254140257835
1785948184354773740,0.3779999911785126,0.4363323152065277,-0.25,0.03881295770406723
1785948184453252130,0.3779999911785126,0.4363323152065277,-0.25,-0.013022839091718197
1785948184554025437,0.3779999911785126,0.4363323152065277,-0.25,-0.013074572198092937
1785948184653400078,0.3779999911785126,0.4363323152065277,-0.25,-0.008825193159282207
1785948184766093325,0.3779999911785126,0.4363323152065277,-0.25,-0.008811015635728836
1785948184854075595,0.3779999911785126,0.4363323152065277,-0.25,0.018638314679265022
1785948184959122885,0.3779999911785126,0.4363323152065277,-0.25,0.018631162121891975
1785948185059495860,0.3779999911785126,0.4363323152065277,-0.25,0.05899326875805855
1785948185156378203,0.3779999911785126,0.4363323152065277,-0.25,0.02587306685745716
1785948185254901267,0.3779999911785126,0.4363323152065277,-0.25,-0.005878627300262451
1785948185353440427,0.3779999911785126,0.4363323152065277,-0.25,-0.03330504149198532
1785948185454572529,0.3779999911785126,0.4363323152065277,-0.25,0.004162350203841925
1785948185553847359,0.3779999911785126,0.4363323152065277,-0.25,0.004177163355052471
1785948185657078564,0.3779999911785126,0.4363323152065277,-0.25,0.058991625905036926
1785948185758733241,0.3779999911785126,0.4363323152065277,-0.25,0.05901259183883667
1785948185858967748,0.3779999911785126,0.4363323152065277,-0.25,0.01722376048564911
1785948185956902314,0.3779999911785126,0.4363323152065277,-0.25,-0.01453788485378027
1785948186055893808,0.3779999911785126,0.4363323152065277,-0.25,-0.021778389811515808
1785948186156130651,0.3779999911785126,0.4363323152065277,-0.25,0.022916117683053017
1785948186262336440,0.3779999911785126,0.4363323152065277,-0.25,0.022934842854738235
1785948186355193191,0.3779999911785126,0.4363323152065277,-0.25,0.012871341779828072
1785948186456664215,0.3779999911785126,0.4363323152065277,-0.25,0.012861288152635098
1785948186555138253,0.3779999911785126,0.4363323152065277,-0.25,-0.0015977633884176612
1785948186658478901,0.3779999911785126,0.4363323152065277,-0.25,-0.0015892833471298218
1785948186757604639,0.3779999911785126,0.4363323152065277,-0.25,0.018603453412652016
1785948186855966322,0.3779999911785126,0.4363323152065277,-0.25,0.02727741375565529
1785948186959326074,0.3779999911785126,0.4363323152065277,-0.25,0.027280306443572044
1785948187057946933,0.3779999911785126,0.4363323152065277,-0.25,0.001331524457782507
1785948187156017375,0.3779999911785126,0.2600034177303314,-0.25,-0.013112077489495277
1785948187256333581,0.3779999911785126,0.3147340416908264,-0.25,0.03878263756632805
1785948187356225710,0.3779999911785126,0.22817257046699524,-0.25,0.0445900484919548
1785948187463659215,0.3779999911785126,0.2683268189430237,-0.25,0.04459581524133682
1785948187555375228,0.3779999911785126,0.26485589146614075,-0.25,-0.015952393412590027
1785948187656733577,0.3738851547241211,-0.041148390620946884,-0.25,-0.015982583165168762
1785948187756501830,0.3779999911785126,0.13681399822235107,-0.25,0.02864304929971695
1785948187855782964,0.3779999911785126,0.06319695711135864,-0.25,0.02868468314409256
1785948187954263083,0.36621206998825073,-0.11787944287061691,-0.25,0.020095758140087128
1785948188055860638,0.3396913707256317,-0.2652069926261902,-0.25,0.02008148841559887
1785948188159911963,0.32804664969444275,-0.11644712090492249,-0.25,-0.01741827465593815
1785948188254782982,0.3024274408817291,-0.25619199872016907,-0.25,0.008475545793771744
1785948188354520642,0.26466843485832214,-0.37758997082710266,-0.25,0.00849855225533247
1785948188456080437,0.2304271161556244,-0.3424132466316223,-0.25,0.0013682098360732198
1785948188557512515,0.20894674956798553,-0.21480372548103333,-0.25,0.0013369318330660462
1785948188655627919,0.16607923805713654,-0.4286750853061676,-0.25,-0.010208354331552982
1785948188756469484,0.12244600802659988,-0.4363323152065277,-0.25,-0.010224164463579655
1785948188854352689,0.08836580067873001,-0.3408021032810211,-0.25,0.02724284864962101
1785948188955909315,0.04473256692290306,-0.4363323152065277,-0.25,0.00999899860471487
1785948189054795110,0.0010993367759510875,-0.4363323152065277,-0.25,0.009981910698115826
1785948189158393333,-0.04253389313817024,-0.4363323152065277,-0.25,-0.00012742276885546744
1785948189257320313,-0.08616712689399719,-0.4363323152065277,-0.25,-0.003021101700142026
1785948189353629167,-0.12980036437511444,-0.4363323152065277,-0.25,0.002760264091193676
1785948189454855128,-0.1734335869550705,-0.4363323152065277,-0.25,0.004188421182334423
1785948189554348781,-0.21706682443618774,-0.4363323152065277,-0.25,0.02149309776723385
1785948189655868030,-0.2607000470161438,-0.4363323152065277,-0.25,0.011428109370172024
1785948189757618550,-0.30433326959609985,-0.4363323152065277,-0.25,0.020049946382641792
1785948189854539454,-0.3479665219783783,-0.4363323152065277,-0.25,0.06620348989963531
1785948189954302587,-0.3779999911785126,-0.4363323152065277,-0.25,0.025920484215021133
1785948190052970711,-0.3779999911785126,-0.4363323152065277,-0.25,-0.036155663430690765
